Xa5dk	Allergy to over-the-counter drug
Xa5K7	Benzodiazepine sedative adverse reaction
Xa5KQ	Temazepam adverse reaction
Xa5KP	Lorazepam adverse reaction
Xa5KO	Diazepam adverse reaction
Xa5KN	Midazolam adverse reaction
Xa5KM	Prazepam adverse reaction
Xa5KL	Oxazepam adverse reaction
Xa5KK	Medazepam adverse reaction
Xa5KJ	Ketazolam adverse reaction
Xa5KI	Potassium clorazepate adverse reaction
Xa5KH	Clobazam adverse reaction
Xa5KG	Chlordiazepoxide adverse reaction
Xa5KF	Bromazepam adverse reaction
Xa5KE	Alprazolam adverse reaction
Xa5KD	Triazolam adverse reaction
Xa5KC	Nitrazepam adverse reaction
Xa5KB	Lormetazepam adverse reaction
Xa5KA	Loprazolam adverse reaction
Xa5K9	Flurazepam adverse reaction
Xa5K8	Flunitrazepam adverse reaction
Xa5K1	Barbiturate sedative adverse reaction
Xa5K6	Quinalbarbitone adverse reaction
Xa5K5	Amylobarbitone sodium adverse reaction
Xa5K4	Cyclobarbitone adverse reaction
Xa5K3	Butobarbitone adverse reaction
Xa5K2	Amylobarbitone adverse reaction
Xa5K0	Paraldehyde adverse reaction
Xa5Jz	Methyprylone adverse reaction
Xa5Jy	Chlormezanone adverse reaction
Xa5Jx	Zolpidem adverse reaction
Xa5Jw	Zopiclone adverse reaction
Xa5Jf	Antiepileptic adverse reaction
Xa5Jt	Clonazepam adverse reaction
Xa5Js	Ethosuximide adverse reaction
Xa5Jr	Phenytoin adverse reaction
Xa5Jq	Vigabatrin adverse reaction
Xa5Jp	Carbamazepine adverse reaction
Xa5Jl	Barbiturate antiepileptic adverse reaction
Xa5Jo	Primidone adverse reaction
Xa5Jn	Phenobarbitone adverse reaction
Xa5Jm	Methylphenobarbitone adverse reaction
Xa5Jk	Sodium valproate adverse reaction
Xa5Jj	Gabapentin adverse reaction
Xa5Ji	Piracetam adverse reaction
Xa5Jh	Lamotrigine adverse reaction
Xa5Jg	Beclamide adverse reaction
Xa5J2	Antidepressant drug adverse reaction
Xa5Je	Viloxazine adverse reaction
Xa5Jd	Trazodone adverse reaction
Xa5Ja	Tetracyclic antidepressant drug adverse reaction
XaXmt	Mirtazapine adverse reaction
Xa5Jc	Mianserin adverse reaction
Xa5Jb	Maprotiline adverse reaction
Xa5JT	Selective serotonin re-uptake inhibitor adverse reaction
Xa5JZ	Fluvoxamine adverse reaction
Xa5JY	Fluoxetine adverse reaction
Xa5JX	Citalopram adverse reaction
Xa5JW	Nefazodone adverse reaction
Xa5JV	Paroxetine adverse reaction
Xa5JU	Sertraline adverse reaction
Xa5JS	Venlafaxine adverse reaction
Xa5JR	Tryptophan adverse reaction
Xa5JQ	Compound antidepressants adverse reaction
Xa5JK	Monoamine oxidase inhibitor adverse reaction
Xa5JP	Moclobemide adverse reaction
Xa5JO	Tranylcypromine adverse reaction
Xa5JN	Isocarboxazid adverse reaction
Xa5JM	Iproniazid adverse reaction
Xa5JL	Phenelzine adverse reaction
Xa5J6	Tricyclic antidepressant drug adverse reaction
Xa5JJ	Protriptyline adverse reaction
Xa5JI	Imipramine adverse reaction
Xa5JH	Dothiepin adverse reaction
Xa5JG	Desipramine adverse reaction
Xa5JF	Clomipramine adverse reaction
Xa5JE	Amitriptyline adverse reaction
Xa5JD	Amoxapine adverse reaction
Xa5JC	Trimipramine adverse reaction
Xa5JB	Nortriptyline adverse reaction
Xa5JA	Lofepramine adverse reaction
Xa5J9	Iprindole adverse reaction
Xa5J8	Doxepin adverse reaction
Xa5J7	Butriptyline adverse reaction
Xa5J3	Lithium adverse reaction
Xa5J5	Lithium citrate adverse reaction
Xa5J4	Lithium carbonate adverse reaction
Xa5It	Dopaminergic drug used in parkinsonism adverse reaction
Xa5J1	Bromocriptine adverse reaction
Xa5J0	Pergolide adverse reaction
Xa5Iz	Lysuride adverse reaction
Xa5Iy	Apomorphine adverse reaction
Xa5Ix	Amantadine adverse reaction
Xa5Iw	Co-careldopa adverse reaction
Xa5Iv	Co-beneldopa adverse reaction
Xa5Iu	Levodopa adverse reaction
Xa5In	Centrally acting appetite suppressant adverse reaction
Xa5Is	Fenfluramine adverse reaction
Xa5Ir	Diethylpropion adverse reaction
Xa5Iq	Dexfenfluramine adverse reaction
Xa5Ip	Phentermine adverse reaction
Xa5Io	Mazindol adverse reaction
Xa5Hf	Antineoplastic/immunosuppressant/immunostimulant adverse reaction
Xa5Ij	Immunosuppressant adverse reaction
XaPRE	[X]Leflunomide adverse reaction
Xa5Il	Azathioprine adverse reaction
Xa5Ik	Cyclosporin adverse reaction
Xa5Ho	Antineoplastic adverse reaction
Xa5Ii	Dimethyl sulphoxide adverse reaction
Xa5Ie	Vinca alkaloid adverse reaction
Xa5Ih	Vindesine adverse reaction
Xa5Ig	Vincristine adverse reaction
Xa5If	Vinblastine adverse reaction
Xa5Ia	Oestrogen antagonist adverse reaction
Xa5Id	Formestane adverse reaction
Xa5Ic	Tamoxifen adverse reaction
Xa5Ib	Trilostane adverse reaction
Xa5IZ	Aminoglutethimide adverse reaction
Xa5IY	Fludarabine adverse reaction
Xa5IX	Paclitaxel adverse reaction
Xa5IW	Crisantaspase adverse reaction
Xa5IV	Razoxane adverse reaction
Xa5IU	Procarbazine adverse reaction
Xa5IT	Hydroxyurea adverse reaction
Xa5IS	Cisplatin adverse reaction
Xa5IR	Carboplatin adverse reaction
Xa5IQ	Amsacrine adverse reaction
Xa5IP	Etoposide adverse reaction
Xa5IH	Antimetabolite adverse reaction
Xa5IO	Fluorouracil adverse reaction
Xa5IN	Cytarabine adverse reaction
Xa5IM	Pentostatin adverse reaction
Xa5IL	Thioguanine adverse reaction
Xa5IK	Mercaptopurine adverse reaction
Xa5IJ	Methotrexate adverse reaction
Xa5II	Mercuric oxide adverse reaction
Xa5I7	Cytotoxic antibiotic adverse reaction
Xa5IG	Idarubicin adverse reaction
Xa5IF	Epirubicin adverse reaction
Xa5IE	Doxorubicin adverse reaction
Xa5ID	Mitozantrone adverse reaction
Xa5IC	Aclarubicin adverse reaction
Xa5IB	Plicamycin adverse reaction
Xa5IA	Mitomycin adverse reaction
Xa5I9	Bleomycin adverse reaction
Xa5I8	Dactinomycin adverse reaction
Xa5Hp	Alkylating drug adverse reaction
Xa5I5	Triazene antineoplastic adverse reaction
Xa5I6	Dacarbazine adverse reaction
Xa5I2	Nitrosurea adverse reaction
Xa5I4	Lomustine adverse reaction
Xa5I3	Carmustine adverse reaction
Xa5Hu	Nitrogen mustard derivative adverse reaction
Xa5I1	Mustine adverse reaction
Xa5I0	Estramustine adverse reaction
Xa5Hz	Melphalan adverse reaction
Xa5Hy	Ifosfamide adverse reaction
Xa5Hx	Ethoglucid adverse reaction
Xa5Hw	Cyclophosphamide adverse reaction
Xa5Hv	Chlorambucil adverse reaction
Xa5Ht	Thiotepa adverse reaction
Xa5Hs	Treosulfan adverse reaction
Xa5Hr	Busulphan adverse reaction
Xa5Hq	Mitobronitol adverse reaction
Xa5Hg	Immunostimulant adverse reaction
Xa5Hn	Levamisole adverse reaction
Xa5Hj	Colony stimulating factors adverse reaction
Xa5Hm	Filgrastim adverse reaction
Xa5Hl	Lenograstim adverse reaction
Xa5Hk	Molgramostim adverse reaction
Xa5Hi	Aldesleukin adverse reaction
Xa5Hh	Amifostine adverse reaction
Xa5HF	Anaesthetics and medical gases adverse reaction
Xa5HU	Local anaesthetic drug adverse reaction
Xa5He	Proxymetacaine adverse reaction
Xa5Hd	Procaine adverse reaction
Xa5Hc	Oxybuprocaine adverse reaction
Xa5Hb	Amethocaine adverse reaction
Xa5Ha	Benzocaine adverse reaction
Xa5HZ	Cocaine adverse reaction
Xa5HY	Lignocaine adverse reaction
Xa5HX	Prilocaine adverse reaction
Xa5HW	Cinchocaine adverse reaction
Xa5HV	Bupivacaine adverse reaction
Xa5HG	General anaesthetic drug adverse reaction
Xa5HN	Inhalational anaesthetics adverse reaction
Xa5HT	Desflurane adverse reaction
Xa5HS	Trichloroethylene adverse reaction
Xa5HR	Isoflurane adverse reaction
Xa5HQ	Halothane adverse reaction
Xa5HP	Ether, anaesthetic adverse reaction
Xa5HO	Enflurane adverse reaction
Xa5HH	Intravenous anaesthetics adverse reaction
Xa5HM	Methohexitone adverse reaction
Xa5HL	Thiopentone adverse reaction
Xa5HK	Propofol adverse reaction
Xa5HJ	Ketamine adverse reaction
Xa5HI	Etomidate adverse reaction
Xa5GH	Drug groups primarily affecting the gastrointestinal system adverse reaction
Xa5HA	Bile agent adverse reaction
Xa5HE	Chenodeoxycholic and ursodeoxycholic acid adverse reaction
Xa5HD	Ursodeoxycholic acid adverse reaction
Xa5HC	Dehydrocholic acid adverse reaction
Xa5HB	Chenodeoxycholic acid adverse reaction
Xa5H0	Antispasmodic adverse reaction
Xa5H9	Propantheline adverse reaction
Xa5H8	Poldine adverse reaction
Xa5H7	Pipenzolate adverse reaction
Xa5H6	Mepenzolate adverse reaction
Xa5H5	Dicyclomine adverse reaction
Xa5H4	Mebeverine adverse reaction
Xa5H3	Alverine adverse reaction
Xa5H2	Peppermint oil adverse reaction
Xa5H1	Hyoscine butylbromide adverse reaction
Xa5Gp	Laxative adverse reaction
Xa5Gz	Docusate adverse reaction
Xa5Gw	Anthraquinone laxative adverse reaction
Xa5Gy	Senna adverse reaction
Xa5Gx	Cascara adverse reaction
Xa5Gv	Bulk-forming laxative adverse reaction
Xa5Gu	Magnesium sulphate adverse reaction
Xa5Gt	Lactulose adverse reaction
Xa5Gs	Sodium picosulphate adverse reaction
Xa5Gr	Danthron adverse reaction
Xa5Gq	Bisacodyl adverse reaction
Xa5Gk	Antiemetic adverse reaction
Xa5Go	5-HT3-receptor antagonist adverse reaction
Xa5Gn	Metoclopramide adverse reaction
Xa5Gm	Domperidone adverse reaction
Xa5Gl	Nabilone adverse reaction
Xa5Gi	Motility stimulant adverse reaction
Xa5Gj	Cisapride adverse reaction
Xa5Gf	Antidiarrhoeal drug adverse reaction
Xa5Gh	Kaolin adverse reaction
Xa5Gg	Loperamide adverse reaction
Xa5Gc	Antacid adverse reaction
Xa5Ge	Aluminium hydroxide adverse reaction
Xa5Gd	Magnesium trisilicate adverse reaction
Xa5GY	5-aminosalicylic acid adverse reaction
Xa5Gb	Sulphasalazine adverse reaction
Xa5Ga	Olsalazine adverse reaction
Xa5GZ	Mesalazine adverse reaction
Xa5GX	Pancreatin adverse reaction
Xa5GI	Ulcer healing drug adverse reaction
Xa5GW	Pirenzepine adverse reaction
Xa5GV	Carbenoxolone adverse reaction
Xa5GS	Proton pump inhibitor adverse reaction
Xa5GU	Lansoprazole adverse reaction
Xa5GT	Omeprazole adverse reaction
Xa5GN	H2 receptor antagonist adverse reaction
Xa5GR	Ranitidine adverse reaction
Xa5GQ	Nizatidine adverse reaction
Xa5GP	Famotidine adverse reaction
Xa5GO	Cimetidine adverse reaction
Xa5GM	Misoprostol adverse reaction
Xa5GL	Liquorice adverse reaction
Xa5GK	Sucralfate adverse reaction
Xa5GJ	Bismuth chelate adverse reaction
Xa5G9	Diagnostic agent adverse reaction
Xa5GG	Diagnostic dye adverse reaction
Xa5GF	Allergen extract vaccine adverse reaction
Xa5GC	Contrast media adverse reaction
Xa5GE	Magnetic resonance imaging contrast media adverse reaction
Xa5GD	X-ray contrast media adverse reaction
Xa5GB	Radiopharmaceutical adverse reaction
Xa5GA	Tuberculin adverse reaction
Xa5FI	Analgesics and non-steroidal anti-inflammatory drug adverse reaction
Xa5Fl	Non-steroidal anti-inflammatory drug adverse reaction
Xa5G8	Tolmetin adverse reaction
Xa5G7	Tiaprofenic acid adverse reaction
Xa5G6	Tenoxicam adverse reaction
Xa5G5	Sulindac adverse reaction
Xa5G4	Piroxicam adverse reaction
Xa5G3	Phenylbutazone adverse reaction
Xa5G2	Oxyphenbutazone adverse reaction
Xa5G1	Nefopam adverse reaction
Xa5G0	Naproxen adverse reaction
Xa5Fz	Nabumetone adverse reaction
Xa5Fy	Mefenamic acid adverse reaction
Xa5Fx	Ketorolac adverse reaction
Xa5Fw	Ketoprofen adverse reaction
Xa5Fv	Indomethacin adverse reaction
Xa5Fu	Ibuprofen adverse reaction
Xa5Ft	Flurbiprofen adverse reaction
Xa5Fs	Fenoprofen adverse reaction
Xa5Fr	Fenbufen adverse reaction
Xa5Fq	Felbinac adverse reaction
Xa5Fp	Etodolac adverse reaction
Xa5Fo	Diclofenac adverse reaction
Xa5Fn	Azapropazone adverse reaction
Xa5Fm	Acemetacin adverse reaction
Xa5FJ	Analgesic adverse reaction
Xa5FO	Opioid analgesic adverse reaction
Xa5Fk	Levorphanol adverse reaction
Xa5Fj	Meptazinol adverse reaction
Xa5Fe	Pethidine analogue adverse reaction
Xa5Fi	Phenoperidine adverse reaction
Xa5Fh	Pethidine adverse reaction
Xa5Fg	Fentanyl adverse reaction
Xa5Ff	Alfentanil adverse reaction
Xa5Fd	Opium alkaloid adverse reaction
Xa5FW	Morphinan opioid adverse reaction
Xa5Fc	Morphine adverse reaction
Xa5Fb	Nalbuphine adverse reaction
Xa5Fa	Dihydrocodeine adverse reaction
Xa5FZ	Diamorphine adverse reaction
Xa5FY	Codeine adverse reaction
Xa5FX	Buprenorphine adverse reaction
Xa5FR	Methadone analogue adverse reaction
Xa5FV	Methadone adverse reaction
Xa5FU	Dipipanone adverse reaction
Xa5FT	Dextropropoxyphene adverse reaction
Xa5FS	Dextromoramide adverse reaction
Xa5FQ	Phenazocine adverse reaction
Xa5FP	Pentazocine adverse reaction
Xa5FK	Non-opioid analgesic adverse reaction
Xa5FM	Salicylate adverse reaction
Xa5FN	Aspirin adverse reaction
Xa5FL	Paracetamol adverse reaction
Xa5FH	Adverse reaction to over the counter drug
TJ...	Drugs, medicines and biological substances causing adverse effects in therapeutic use
XaKdb	Adverse reaction to drug primarily acting on nutrition
XaKda	Adverse reaction to drug acting on bone metabolism
XaIrr	Adverse reaction to bupropion
XE22D	Adverse reaction to analgesics, antipyretics and antirheumatics
XE22F	Adverse reaction to antirheumatic
X70yS	NSAID - Adverse reaction to non-steroidal anti-inflammatory drug
TJ5y1	Adverse reaction to mefenamic acid
TJ56z	Adverse reaction to antirheumatics NOS
TJ56A	Adverse reaction to auranofin
TJ569	Adverse reaction to sodium aurothiomalate
TJ568	Adverse reaction to piroxicam
TJ567	Adverse reaction to naproxen
TJ566	Adverse reaction to ketoprofen
TJ565	Adverse reaction to indomethacin
TJ564	Adverse reaction to flurbiprofen
TJ563	Adverse reaction to fenoprofen
TJ562	Adverse reaction to fenbufen
TJ561	Adverse reaction to diclofenac sodium
TJ560	Adverse reaction to ibuprofen
X70yR	Adverse reaction to analgesics
TJ5y0	Adverse reaction to pentazocine
TJ57z	Adverse reaction to non-narcotic analgesics NOS
TJ571	Adverse reaction to pyrabital
TJ57.	Adverse reaction to other non-narcotic analgesics
TJ55.	Adverse reaction to pyrazole derivative
TJ55z	Adverse reaction to pyrazole derivatives NOS
TJ551	Adverse reaction to aminophenazone
TJ550	Adverse reaction to phyenylbytazone
TJ54z	Adverse reaction to aromatic analgesics NOS
TJ542	Adverse reaction to acetanilide
TJ541	Adverse reaction to phenacetin
TJ540	Adverse reaction to paracetamol
TJ54.	Adverse reaction to aromatic analgesics NEC
TJ52z	Adverse reaction to opiates or related narcotics NOS
TJ527	Adverse reaction to pethidine hydrochloride
TJ526	Adverse reaction to levorphanol tartrate
TJ525	Adverse reaction to dipipanone hydrochloride
TJ524	Adverse reaction to dihydrocodeine tartrate
TJ523	Adverse reaction to dextromoramide
TJ522	Adverse reaction to codeine phosphate
TJ521	Adverse reaction to buprenorphine
TJ520	Adverse reaction to morphine salts
TJ52.	Adverse reaction to other opiates and related narcotics
TJ51.	Adverse reaction to methadone
TJ50.	Adverse reaction to diamorphine
X70yP	Adverse reaction to antipyretic
XE22E	Adverse reaction to salicylates
X70yQ	Adverse reaction to aspirin
TJ53.	Adverse reaction to aspirin
TJ5y.	Adverse reaction to other analgesics, anti-pyretics and anti-rheumatics
TJ5z.	Adverse reaction to analgesics, anti-pyretics and anti-rheumatics NOS
TJ5yz	Adverse reaction to other analgesics, anti-pyretics and anti-rheumatics NOS
TJ56.	Adverse reaction to non steroidal anti inflammatory drugs
TJ5..	Adverse reaction to antipyretics
X70yT	Adverse reaction to CNS depressants and anaesthetics
X70yV	Adverse reaction to anaesthetic
X70yW	Adverse reaction to general anaesthetic
X70yX	Adverse reaction to gaseous anaesthetic
TJ82z	Adverse reaction to gaseous anaesthetic NOS
TJ825	Adverse reaction to trichloroethylene
TJ824	Adverse reaction to enflurane
TJ823	Adverse reaction to isoflurane
TJ822	Adverse reaction to cyclopropane
TJ821	Adverse reaction to nitrous oxide
TJ820	Adverse reaction to ether
TJ82.	Adverse reaction to other gaseous anaesthetics
TJ81.	Adverse reaction to halothane
TJ84.	Adverse reaction to other general anaesthetics
TJ83.	Adverse reaction to intravenous anaesthetic
TJ83z	Adverse reaction to intravenous anaesthetic NOS
TJ834	Adverse reaction to propofol
TJ833	Adverse reaction to etomidate
TJ832	Adverse reaction to ketamine
TJ831	Adverse reaction to methohexitone sodium
TJ830	Adverse reaction to thiopentone sodium
TJ8y.	Adverse reaction to other local anaesthetics
TJ87.	Adverse reaction to spinal anaesthetic
TJ86.	Adverse reaction to peripheral nerve- and plexus-blocking anaesthetics
TJ85.	Adverse reaction to surface and infiltration anaesthetic
TJ85z	Adverse reaction to local anaesthetics NOS
TJ855	Adverse reaction to tetracaine
TJ854	Adverse reaction to procaine hydrochloride
TJ853	Adverse reaction to prilocaine hydrochloride
TJ852	Adverse reaction to bupivacaine hydrochloride
TJ851	Adverse reaction to lignocaine hydrochloride
TJ850	Adverse reaction to cocaine
X70yU	Adverse reaction to central nervous system depressant
TJ80.	Adverse reaction to central nervous system muscle-tone depressants
TJ80z	Adverse reaction to central nervous system muscle-tone depressants NOS
TJ802	Adverse reaction to methocarbamol
TJ801	Adverse reaction to mephenesin
TJ800	Adverse reaction to chlorphenesin
TJ7..	Adverse reaction to sedatives and hypnotics
TJ7z.	Adverse reaction to sedatvies and hypnotics, unspecified
TJ7zz	Adverse reaction to sedative or hypnotic NOS
TJ7z1	Adverse reaction to sedative NOS
TJ7z0	Adverse reaction to sleeping pill NOS
TJ7yz	Adverse reaction to other sedatives and hypnotics NOS
TJ7y3	Adverse reaction to carbamate
TJ7y2	Adverse reaction to avomine
TJ7y1	Adverse reaction to promethazine hydrochloride
TJ7y0	Adverse reaction to methyprylon
TJ7y.	Adverse reaction to other sedatives and hypnotics
TJ76.	Adverse reaction to mixed sedatives NEC
TJ75.	Adverse reaction to glutethimide group
TJ74.	Adverse reaction to methaqualone compound
TJ73.	Adverse reaction to bromine compound
TJ73z	Adverse reaction to bromine compounds NOS
TJ731	Adverse reaction to carbromal derivatives
TJ730	Adverse reaction to bromide
TJ72.	Adverse reaction to paraldehyde
TJ71.	Adverse reaction to chloral hydrate group
TJ71z	Adverse reaction to chloral hydrate group NOS
TJ713	Adverse reaction to chlormethiazole edisylate
TJ712	Adverse reaction to triclofos sodium
TJ711	Adverse reaction to dichloralphenazone
TJ710	Adverse reaction to chloral hydrate
TJ70.	Adverse reaction to barbiturate
TJ70z	Adverse reaction to barbiturate NOS
TJ705	Adverse reaction to quinalbarbitone
TJ704	Adverse reaction to phenobarbitone
TJ703	Adverse reaction to pentobarbitone
TJ702	Adverse reaction to butobarbitone
TJ701	Adverse reaction to barbitone
TJ700	Adverse reaction to amylobarbitone
TJ8z.	Adverse reaction to central nervous system depressants and anaesthetics NOS
X70yO	Adverse reaction to vaccine
Xaaiw	Adverse reaction to herpes zoster vaccine
Xaait	Adverse reaction to rotavirus vaccine
TJz..	Adverse reaction to drug NOS
TJKz.	Adverse reaction to vaccine or biological substance NOS
TJK6z	Adverse reaction to viral or rickettsial vaccine NOS
TJK8.	Adverse reaction to tetanus antitoxin
TJK7.	Adverse reaction to mixed viral-rickettsial and bacterial vaccines except combinations with a pertussis component
TJK61	Adverse reaction to rubella vaccine
TJK60	Adverse reaction to mumps vaccine
TJK6.	Adverse reaction to other viral and rickettsial vaccines
TJK5.	Adverse reaction to poliomyelitis vaccine
TJK4.	Adverse reaction to measles vaccine
TJK3.	Adverse reaction to yellow fever vaccine
TJK2.	Adverse reaction to typhus vaccine
TJK1.	Adverse reaction to rabies vaccine
TJK0.	Adverse reaction to smallpox vaccine
TJK..	Adverse reaction to other vaccines and biological substances
TJJ..	Adverse reaction to bacterial vaccines
TJJz.	Adverse reaction to mixed bacterial vaccines, excluding combinations with a pertussis component
TJJyz	Adverse reaction to other bacterial vaccine NOS
TJJy0	Adverse reaction to meningococcal vaccine
TJJy.	Adverse reaction to other bacterial vaccines
TJJ6.	Adverse reaction to pertussis vaccine, including combinations with a pertussis component
TJJ5.	Adverse reaction to diphtheria vaccine
TJJ4.	Adverse reaction to tetanus vaccine
TJJ3.	Adverse reaction to plague vaccine
TJJ2.	Adverse reaction to cholera vaccine
TJJ1.	Adverse reaction to typhoid and paratyphoid vaccines
TJJ1z	Adverse reaction to typhoid or paratyphoid vaccine NOS
TJJ11	Adverse reaction to paratyphoid vaccine
TJJ10	Adverse reaction to typhoid vaccine
TJJ0.	Adverse reaction to BCG vaccine
X70yM	Adverse reaction to anti-infective substance
X70yN	Adverse reaction to antiprotozoal drug
TJ15z	Adverse reaction to antiprotozoal drugs NOS
TJ153	Adverse reaction to metronidazole
TJ152	Adverse reaction to diloxanide furoate
TJ151	Adverse reaction to pentamidine isethionate
TJ150	Adverse reaction to emetine
TJ15.	Adverse reaction to other antiprotozoal drugs
TJ14.	Adverse reaction to antimalarials
TJ14z	Adverse reaction to antimalarials NOS
TJ145	Adverse reaction to cycloguanil
TJ144	Adverse reaction to quinine
TJ143	Adverse reaction to pyrimethamine
TJ142	Adverse reaction to proguanil hydrochloride
TJ141	Adverse reaction to primaquine
TJ140	Adverse reaction to chloroquine
TJ1zz	Adverse reaction to anti-infective NOS
TJ1z.	Adverse reaction to other and unspecified anti-infectives
TJ17.	Adverse reaction to antiviral drugs
TJ17z	Adverse reaction to antiviral drug NOS
TJ174	Adverse reaction to zidovudine
TJ173	Adverse reaction to vidarabine
TJ172	Adverse reaction to tribavirin
TJ171	Adverse reaction to inosine pranobex
TJ170	Adverse reaction to acyclovir
TJ16.	Adverse reaction to antihelminthics
TJ16z	Adverse reaction to antihelminthic NOS
TJ167	Adverse reaction to male fern oleoresin
TJ166	Adverse reaction to hexylresorcinol
TJ165	Adverse reaction to thiabenazole
TJ164	Adverse reaction to bephenium
TJ163	Adverse reaction to niclosamide
TJ162	Adverse reaction to pyrantel
TJ161	Adverse reaction to piperazine
TJ160	Adverse reaction to mebendazole
TJ12.	Adverse reaction to heavy metal anti-infectives
TJ12z	Adverse reaction to heavy metal anti-infectives NOS
TJ123	Adverse reaction to mercury compound
TJ122	Adverse reaction to lead compound
TJ121	Adverse reaction to bismuth compound
TJ120	Adverse reaction to antimony compound
TJ11.	Adverse reaction to arsenical anti-infectives
TJ1..	Adverse reaction to other anti-infectives
TJ07.	Adverse reaction to antineoplastic antibiotics
TJ07z	Adverse reaction to antineoplastic antibiotics NOS
TJ074	Adverse reaction to plicamycin
TJ073	Adverse reaction to mitomycin
TJ072	Adverse reaction to doxorubicin hydrochloride
TJ071	Adverse reaction to bleomycin
TJ070	Adverse reaction to actinomycin D
TJ0..	Adverse reaction to antibiotic
XM1Fr	Adverse reaction to macrolide group
TJ03z	Adverse reaction to macrolide NOS
TJ032	Adverse reaction to spiramycin
TJ031	Adverse reaction to oleandomycin
TJ030	Adverse reaction to erythromycin
TJ03.	Adverse reaction to erythromycin and other macrolides
TJ1z4	Adverse reaction to flucytosine
TJ1z3	Adverse reaction to hexamine
TJ1z2	Adverse reaction to nitrofurantoin
TJ1z1	Adverse reaction to nalidixic acid
TJ1z0	Adverse reaction to ciprofloxacin
TJ13.	Adverse reaction to quinolone and hydroxyquinoline derivatives
TJ13z	Adverse reaction to quinolone and hydroxyquinoline derivatives NOS
TJ131	Adverse reaction to diiodohydroxyquin
TJ130	Adverse reaction to chiniofon
TJ10.	Adverse reaction to sulphonamides
TJ10z	Adverse reaction to sulphonamide NOS
TJ105	Adverse reaction to sulphaurea
TJ104	Adverse reaction to sulphafurazole
TJ103	Adverse reaction to sulphamethoxazole
TJ102	Adverse reaction to sulphaguanidine
TJ101	Adverse reaction to sulphadimidine
TJ100	Adverse reaction to sulphadiazine
TJ0z.	Adverse reaction to antibiotic NOS
TJ0yz	Adverse reaction to other antibiotics NOS
TJ0yD	Adverse reaction to cotrimoxazole
TJ0yC	Adverse reaction to trimethoprim
TJ0yB	Adverse reaction to vancomycin
TJ0yA	Adverse reaction to polymyxin B sulphate
TJ0y9	Adverse reaction to sodium fusidate
TJ0y8	Adverse reaction to colistin
TJ0y7	Adverse reaction to lincomycin
TJ0y6	Adverse reaction to clindamycin
TJ0y5	Adverse reaction to tobramycin
TJ0y4	Adverse reaction to neomycin sulphate
TJ0y3	Adverse reaction to kanamycin
TJ0y2	Adverse reaction to framycetin sulphate
TJ0y1	Adverse reaction to amikacin
TJ0y0	Adverse reaction to gentamicin
TJ0y.	Adverse reaction to other antibiotics
TJ06.	Adverse reaction to antimycobacterial antibiotics
TJ18z	Adverse reaction to antimycobacterial drug NOS
TJ185	Adverse reaction to clofazimine
TJ184	Adverse reaction to dapsone
TJ183	Adverse reaction to para-aminosalicylic acid
TJ182	Adverse reaction to isoniazid
TJ181	Adverse reaction to ethionamide
TJ180	Adverse reaction to ethambutol
TJ18.	Adverse reaction to other antimycobacterial drugs
TJ06z	Adverse reaction to antimycobacterial antibiotic NOS
TJ064	Adverse reaction to streptomycin
TJ063	Adverse reaction to rifampicin
TJ062	Adverse reaction to pyrazinamide
TJ061	Adverse reaction to cycloserine
TJ060	Adverse reaction to capreomycin
TJ05.	Adverse reaction to cephalosporin group
TJ05z	Adverse reaction to cephalosporin NOS
TJ05B	Adverse reaction to cephradine
TJ05A	Adverse reaction to cephazolin
TJ059	Adverse reaction to cephamandole
TJ058	Adverse reaction to cephalothin
TJ057	Adverse reaction to cephalexin
TJ056	Adverse reaction to ceftizoxime
TJ055	Adverse reaction to ceftazidime
TJ054	Adverse reaction to cefsulodin sodium
TJ053	Adverse reaction to cefoxitin
TJ052	Adverse reaction to cefotaxime
TJ051	Adverse reaction to cefadroxil
TJ050	Adverse reaction to cefaclor
TJ04.	Adverse reaction to tetracycline group
TJ04z	Adverse reaction to tetracycline NOS
TJ047	Adverse reaction to oxytetracycline
TJ046	Adverse reaction to minocycline
TJ045	Adverse reaction to lymecycline
TJ044	Adverse reaction to doxycycline
TJ043	Adverse reaction to demeclocycline hydrochloride
TJ042	Adverse reaction to clomocycline sodium
TJ041	Adverse reaction to chlortetracycline hydrochloride
TJ040	Adverse reaction to tetracycline
TJ02.	Adverse reaction to chloramphenicol group
TJ02z	Adverse reaction to chloramphenicol group NOS
TJ021	Adverse reaction to thiamphenicol
TJ020	Adverse reaction to chloramphenicol
TJ01.	Adverse reaction to antifungal antibiotics
TJ01z	Adverse reaction to antifungal antibiotics NOS
TJ015	Adverse reaction to nystatin
TJ014	Adverse reaction to natamycin
TJ013	Adverse reaction to miconazole
TJ012	Adverse reaction to ketoconazole
TJ011	Adverse reaction to griseofulvin
TJ010	Adverse reaction to amphotericin
TJ00.	Adverse reaction to penicillins
TJ00z	Adverse reaction to penicillin NOS
TJ00G	Adverse reaction to pivmecillinam
TJ00F	Adverse reaction to mecillinam
TJ00E	Adverse reaction to ticarcillin
TJ00D	Adverse reaction to piperacillin
TJ00C	Adverse reaction to carfecillin sodium
TJ00B	Adverse reaction to carbenicillin
TJ00A	Adverse reaction to azlocillin
TJ009	Adverse reaction to talampicillin
TJ008	Adverse reaction to pivampicillin
