^ESCT1164493	Trimipramine mesylate
^ESCTIM907251	Imipramine 10mg/5ml oral suspension (Special Order) 1 ml
^ESCTIM907255	Imipramine 12.5mg/5ml oral solution 1 ml
^ESCTIM907256	Imipramine 12.5mg/5ml oral solution (Special Order)
^ESCTIM907257	Imipramine 12.5mg/5ml oral solution (Special Order) 1 ml
^ESCTIM907259	Imipramine 12.5mg/5ml oral suspension 1 ml
^ESCTIM907261	Imipramine 12.5mg/5ml oral suspension (Special Order)
^ESCTIM907263	Imipramine 12.5mg/5ml oral suspension (Special Order) 1 ml
^ESCTIM907279	Imipramine 25mg/5ml oral solution 1 ml
^ESCTIM907281	Imipramine 25mg/5ml oral solution (Special Order)
^ESCTIM907284	Imipramine 25mg/5ml oral solution (Special Order) 1 ml
^ESCTIM907286	Imipramine 25mg/5ml oral suspension 1 ml
^ESCTIM907289	Imipramine 25mg/5ml oral suspension (Special Order)
^ESCTIM907290	Imipramine 25mg/5ml oral suspension (Special Order) 1 ml
^ESCTIM907431	Imipramine 10mg/5ml oral solution
^ESCTIM907432	Imipramine 10mg/5ml oral suspension
^ESCTIM907433	Imipramine 12.5mg/5ml oral solution
^ESCTIM907434	Imipramine 12.5mg/5ml oral suspension
^ESCTIM907435	Imipramine 25mg/5ml oral suspension
^ESCTIM923705	Imipramine 25mg tablets (Almus Pharmaceuticals Ltd)
^ESCTIM923708	Imipramine 25mg tablets (Almus Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTIM951441	Imipramine 100mg/5ml oral suspension 1 ml
^ESCTIM951442	Imipramine 100mg/5ml oral suspension (Special Order)
^ESCTIM951443	Imipramine 100mg/5ml oral suspension (Special Order) 1 ml
^ESCTIM951444	Imipramine 100mg/5ml oral solution 1 ml
^ESCTIM951445	Imipramine 100mg/5ml oral solution (Special Order)
^ESCTIM951446	Imipramine 100mg/5ml oral solution (Special Order) 1 ml
^ESCTIM951447	Imipramine 40mg/5ml oral suspension 1 ml
^ESCTIM951448	Imipramine 40mg/5ml oral suspension (Special Order)
^ESCTIM951449	Imipramine 40mg/5ml oral suspension (Special Order) 1 ml
^ESCTIM951450	Imipramine 40mg/5ml oral solution 1 ml
^ESCTIM951451	Imipramine 40mg/5ml oral solution (Special Order)
^ESCTIM951452	Imipramine 40mg/5ml oral solution (Special Order) 1 ml
^ESCTIM952115	Imipramine 100mg/5ml oral solution
^ESCTIM952117	Imipramine 100mg/5ml oral suspension
^ESCTIM952119	Imipramine 40mg/5ml oral solution
^ESCTIM952122	Imipramine 40mg/5ml oral suspension
^ESCTIM962226	Imipramine 10mg tablets (Almus Pharmaceuticals Ltd)
^ESCTIM962227	Imipramine 10mg tablets (Almus Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTIM980829	Imipramine 125mg/5ml oral solution 1 ml
^ESCTIM980830	Imipramine 125mg/5ml oral solution (Special Order)
^ESCTIM980832	Imipramine 125mg/5ml oral solution (Special Order) 1 ml
^ESCTIM980834	Imipramine 125mg/5ml oral suspension 1 ml
^ESCTIM980835	Imipramine 125mg/5ml oral suspension (Special Order)
^ESCTIM980837	Imipramine 125mg/5ml oral suspension (Special Order) 1 ml
^ESCTIM980887	Imipramine 125mg/5ml oral suspension
^ESCTIM980888	Imipramine 125mg/5ml oral solution
^ESCTIM991738	Imipramine 25mg/5ml oral solution sugar free 150 ml
^ESCTIM991739	Imipramine 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTIM991740	Imipramine 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml
^ESCTIM991753	Imipramine 25mg/5ml oral solution sugar free
^ESCTIM994717	Imipramine 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTIM994718	Imipramine 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml
^ESCTIP609655	Iprindole
^ESCTIP693252	Iprindole
^ESCTLE870696	Lentizol 50mg modified-release capsules (Pfizer Ltd)
^ESCTLE870701	Lentizol 50mg modified-release capsules (Pfizer Ltd) 56 capsule
^ESCTLE870703	Lentizol 25mg modified-release capsules (Pfizer Ltd)
^ESCTLE870704	Lentizol 25mg modified-release capsules (Pfizer Ltd) 56 capsule
^ESCTLO1006090	Lofepramine 70mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTLO1006091	Lofepramine 70mg tablets (Phoenix Healthcare Distribution Ltd) 56 tablet
^ESCTLO1006413	Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)
^ESCTLO1006415	Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd) 56 tablet
^ESCTLO1044162	Lofepramine 70mg tablets (Waymade Healthcare Plc)
^ESCTLO1044163	Lofepramine 70mg tablets (Waymade Healthcare Plc) 56 tablet
^ESCTLO1065684	Lofepramine 70mg/5ml oral suspension sugar free (DE Pharmaceuticals)
^ESCTLO1065685	Lofepramine 70mg/5ml oral suspension sugar free (DE Pharmaceuticals) 150 ml
^ESCTLO1065686	Lofepramine 70mg tablets (DE Pharmaceuticals)
^ESCTLO1065687	Lofepramine 70mg tablets (DE Pharmaceuticals) 56 tablet
^ESCTLO1089347	Lofepramine 70mg/5ml oral suspension sugar free (Ennogen Healthcare Ltd)
^ESCTLO1089348	Lofepramine 70mg/5ml oral suspension sugar free (Ennogen Healthcare Ltd) 150 ml
^ESCTLO1103982	Lofepramine 70mg/5ml oral suspension sugar free (J M McGill Ltd)
^ESCTLO1103983	Lofepramine 70mg/5ml oral suspension sugar free (J M McGill Ltd) 150 ml
^ESCTLO1107742	Lofepramine 70mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd)
^ESCTLO1107743	Lofepramine 70mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd) 150 ml
^ESCTLO1117657	Lofepramine 70mg/5ml oral suspension sugar free (Niche Pharma Ltd)
^ESCTLO1117658	Lofepramine 70mg/5ml oral suspension sugar free (Niche Pharma Ltd) 150 ml
^ESCTLO1118001	Lofepramine 70mg tablets (Sigma Pharmaceuticals Plc)
^ESCTLO1118002	Lofepramine 70mg tablets (Sigma Pharmaceuticals Plc) 56 tablet
^ESCTLO1120951	Lofepramine 70mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTLO1120952	Lofepramine 70mg tablets (Mawdsley-Brooks & Company Ltd) 56 tablet
^ESCTLO1121471	Lofepramine 70mg tablets (Creo Pharma Ltd)
^ESCTLO1121472	Lofepramine 70mg tablets (Creo Pharma Ltd) 56 tablet
^ESCTLO1145150	Lofepramine 70mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTLO1145151	Lofepramine 70mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd) 150 ml
^ESCTLO1152592	Lofepramine 70mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
^ESCTLO1152593	Lofepramine 70mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd) 150 ml
^ESCTLO609656	Lofepramine
^ESCTLO609660	Lofepramine 70mg tablets
^ESCTLO609662	Lofepramine 70 mg oral tablet
^ESCTLO655883	Lofepramine
^ESCTLO725142	Lofepramine hydrochloride
^ESCTLO803585	Lofepramine 70mg tablets (Teva UK Ltd)
^ESCTLO812138	Lofepramine 70mg tablets (Sterwin Medicines)
^ESCTLO818754	Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd)
^ESCTLO819981	Lofepramine 70mg tablets (Actavis UK Ltd)
^ESCTLO820900	Lofepramine 70mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTLO821171	Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd)
^ESCTLO822113	Lofepramine 70mg tablets (Mylan Ltd)
^ESCTLO825464	Lofepramine 70mg tablets (Kent Pharmaceuticals Ltd)
^ESCTLO846959	Lofepramine 70mg tablets 250 tablet
^ESCTLO848370	Lofepramine 70mg tablets 56 tablet
^ESCTLO855441	Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets
^ESCTLO855442	Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd) 250 tablet
^ESCTLO855443	Lofepramine 70mg tablets (Actavis UK Ltd) 56 tablet 4 x 14 tablets
^ESCTLO855444	Lofepramine 70mg tablets (Teva UK Ltd) 56 tablet 4 x 14 tablets
^ESCTLO855448	Lofepramine 70mg tablets (Mylan Ltd) 56 tablet 4 x 14 tablets
^ESCTLO855450	Lofepramine 70mg tablets (Mylan Ltd) 250 tablet
^ESCTLO855452	Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets
^ESCTLO855454	Lofepramine 70mg tablets (Kent Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets
^ESCTLO855460	Lofepramine 70mg tablets (Sterwin Medicines) 56 tablet 4 x 14 tablets
^ESCTLO855462	Lofepramine 70mg tablets (Alliance Healthcare (Distribution) Ltd) 56 tablet 4 x 14 tablets
^ESCTLO866945	Lofepramine 70mg/5ml oral suspension sugar free 150 ml
^ESCTLO866946	Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd)
^ESCTLO866947	Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd) 150 ml
^ESCTLO866948	Lofepramine 70mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTLO866949	Lofepramine 70mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
^ESCTLO897869	Lofepramine 70mg tablets (Sandoz Ltd)
^ESCTLO897870	Lofepramine 70mg tablets (Sandoz Ltd) 56 tablet 4 x 14 tablets
^ESCTLO953299	Lofepramine 140mg/5ml oral suspension 1 ml
^ESCTLO953317	Lofepramine 140mg/5ml oral solution 1 ml
^ESCTLO953323	Lofepramine 140mg/5ml oral solution (Special Order)
^ESCTLO953327	Lofepramine 140mg/5ml oral solution (Special Order) 1 ml
^ESCTLO953337	Lofepramine 23mg/5ml oral suspension 1 ml
^ESCTLO953341	Lofepramine 23mg/5ml oral suspension (Special Order)
^ESCTLO953343	Lofepramine 23mg/5ml oral suspension (Special Order) 1 ml
^ESCTLO953349	Lofepramine 23mg/5ml oral solution 1 ml
^ESCTLO953353	Lofepramine 23mg/5ml oral solution (Special Order)
^ESCTLO953357	Lofepramine 23mg/5ml oral solution (Special Order) 1 ml
^ESCTLO953367	Lofepramine 35mg/5ml oral suspension 1 ml
^ESCTLO953369	Lofepramine 35mg/5ml oral suspension (Special Order)
^ESCTLO953375	Lofepramine 35mg/5ml oral suspension (Special Order) 1 ml
^ESCTLO953381	Lofepramine 35mg/5ml oral solution 1 ml
^ESCTLO953387	Lofepramine 35mg/5ml oral solution (Special Order)
^ESCTLO953390	Lofepramine 35mg/5ml oral solution (Special Order) 1 ml
^ESCTLO953473	Lofepramine 140mg/5ml oral suspension (Special Order)
^ESCTLO953475	Lofepramine 140mg/5ml oral suspension (Special Order) 1 ml
^ESCTLO953749	Lofepramine 140mg/5ml oral solution
^ESCTLO953751	Lofepramine 140mg/5ml oral suspension
^ESCTLO953753	Lofepramine 23mg/5ml oral solution
^ESCTLO953755	Lofepramine 23mg/5ml oral suspension
^ESCTLO953757	Lofepramine 35mg/5ml oral solution
^ESCTLO953759	Lofepramine 35mg/5ml oral suspension
^ESCTLO954483	Lofepramine 5mg/5ml oral suspension 1 ml
^ESCTLO954491	Lofepramine 5mg/5ml oral suspension (Special Order)
^ESCTLO954493	Lofepramine 5mg/5ml oral suspension (Special Order) 1 ml
^ESCTLO954495	Lofepramine 5mg/5ml oral solution 1 ml
^ESCTLO954497	Lofepramine 5mg/5ml oral solution (Special Order)
^ESCTLO954499	Lofepramine 5mg/5ml oral solution (Special Order) 1 ml
^ESCTLO954501	Lofepramine 70mg/5ml oral suspension 1 ml
^ESCTLO954503	Lofepramine 70mg/5ml oral suspension (Special Order)
^ESCTLO954507	Lofepramine 70mg/5ml oral suspension (Special Order) 1 ml
^ESCTLO954515	Lofepramine 70mg/5ml oral solution 1 ml
^ESCTLO954519	Lofepramine 70mg/5ml oral solution (Special Order)
^ESCTLO954523	Lofepramine 70mg/5ml oral solution (Special Order) 1 ml
^ESCTLO954764	Lofepramine 5mg/5ml oral solution
^ESCTLO954766	Lofepramine 5mg/5ml oral suspension
^ESCTLO954768	Lofepramine 70mg/5ml oral solution
^ESCTLO954770	Lofepramine 70mg/5ml oral suspension
^ESCTLO962165	Lofepramine 70mg tablets (Arrow Generics Ltd)
^ESCTLO962166	Lofepramine 70mg tablets (Arrow Generics Ltd) 56 tablet
^ESCTLO962167	Lofepramine 70mg tablets (Arrow Generics Ltd) 250 tablet
^ESCTLO965973	Lofepramine 70mg tablets (Merck Serono Ltd)
^ESCTLO965974	Lofepramine 70mg tablets (Merck Serono Ltd) 56 tablet 4 x 14 tablets
^ESCTMO803899	Motival 10mg/500microgram tablets (Sanofi)
^ESCTMO818665	Motipress tablets (Sanofi-Synthelabo Ltd)
^ESCTMO855609	Motival 10mg/500microgram tablets (Sanofi) 100 tablet
^ESCTMO856907	Motipress tablets (Sanofi-Synthelabo Ltd) 28 tablet
^ESCTNO1009456	Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd)
^ESCTNO1009457	Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd) 100 tablet
^ESCTNO1009458	Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd)
^ESCTNO1009459	Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 100 tablet
^ESCTNO1012772	Nortriptyline 10mg tablets (King Pharmaceuticals Ltd)
^ESCTNO1012773	Nortriptyline 10mg tablets (King Pharmaceuticals Ltd) 100 tablet
^ESCTNO1014619	Nortriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTNO1014620	Nortriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd) 100 tablet
^ESCTNO1014730	Nortriptyline 25mg tablets (King Pharmaceuticals Ltd)
^ESCTNO1014731	Nortriptyline 25mg tablets (King Pharmaceuticals Ltd) 100 tablet
^ESCTNO1019361	Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTNO1019367	Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 100 tablet
^ESCTNO1068225	Nortriptyline 10mg tablets (Actavis UK Ltd)
^ESCTNO1068226	Nortriptyline 10mg tablets (Actavis UK Ltd) 100 tablet
^ESCTNO1068229	Nortriptyline 25mg tablets (Actavis UK Ltd)
^ESCTNO1068230	Nortriptyline 25mg tablets (Actavis UK Ltd) 100 tablet
^ESCTNO1118515	Nortriptyline 10mg tablets (Teva UK Ltd)
^ESCTNO1118516	Nortriptyline 10mg tablets (Teva UK Ltd) 100 tablet 10 x 10 tablets
^ESCTNO1118517	Nortriptyline 25mg tablets (Teva UK Ltd)
^ESCTNO1118518	Nortriptyline 25mg tablets (Teva UK Ltd) 100 tablet 10 x 10 tablets
^ESCTNO1156985	Nortriptyline 10mg tablets (Focus Pharmaceuticals Ltd)
^ESCTNO1156986	Nortriptyline 25mg tablets 30 tablet
^ESCTNO1156987	Nortriptyline 25mg tablets (Focus Pharmaceuticals Ltd)
^ESCTNO1156988	Nortriptyline 10mg tablets 30 tablet
^ESCTNO1156989	Nortriptyline 25mg tablets (Focus Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1156990	Nortriptyline 10mg tablets (Focus Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1156991	Nortriptyline 25mg tablets (Focus Pharmaceuticals Ltd) 100 tablet
^ESCTNO1156992	Nortriptyline 10mg tablets (Focus Pharmaceuticals Ltd) 100 tablet
^ESCTNO1156993	Nortriptyline 50mg tablets 30 tablet
^ESCTNO1156994	Nortriptyline 50mg tablets (Focus Pharmaceuticals Ltd)
^ESCTNO1156995	Nortriptyline 50mg tablets (Focus Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1156996	Nortriptyline 50mg tablets
^ESCTNO1157668	Nortriptyline 10mg tablets (Creo Pharma Ltd)
^ESCTNO1157669	Nortriptyline 10mg tablets (Creo Pharma Ltd) 100 tablet 10 x 10 tablets
^ESCTNO1157670	Nortriptyline 25mg tablets (Creo Pharma Ltd)
^ESCTNO1157671	Nortriptyline 25mg tablets (Creo Pharma Ltd) 100 tablet 10 x 10 tablets
^ESCTNO1158486	Nortriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1158487	Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1158488	Nortriptyline 50mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTNO1158489	Nortriptyline 50mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1159916	Nortriptyline 10mg/5ml oral suspension 100 ml
^ESCTNO1159917	Nortriptyline 10mg/5ml oral suspension (Drug Tariff Special Order) 100 ml
^ESCTNO1161026	Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1161027	Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1161029	Nortriptyline 50mg tablets (A A H Pharmaceuticals Ltd)
^ESCTNO1161030	Nortriptyline 50mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
^ESCTNO1163008	Nortriptyline 25mg tablets (Alissa Healthcare Research Ltd)
^ESCTNO1163009	Nortriptyline 25mg tablets (Alissa Healthcare Research Ltd) 100 tablet
^ESCTNO1163010	Nortriptyline 10mg tablets (Alissa Healthcare Research Ltd)
^ESCTNO1163011	Nortriptyline 10mg tablets (Alissa Healthcare Research Ltd) 100 tablet
^ESCTNO271283	Nortriptyline
^ESCTNO609686	Nortriptyline 10mg tablets
^ESCTNO609688	Nortriptyline 10 mg oral tablet
^ESCTNO609692	Nortriptyline 25mg tablets
^ESCTNO609694	Nortriptyline 25 mg oral tablet
^ESCTNO609738	Nortriptyline 30mg / Fluphenazine 1.5mg tablets
^ESCTNO609741	Nortriptyline 10mg / Fluphenazine 500microgram tablets
^ESCTNO637025	Nortriptyline
^ESCTNO639954	Nortriptyline hydrochloride 50 mg/1 each oral capsule
^ESCTNO640769	Nortriptyline hydrochloride 75 mg/1 each oral capsule
^ESCTNO641162	Nortriptyline hydrochloride 10 mg/1 each oral capsule
^ESCTNO641216	Nortriptyline hydrochloride 25 mg/1 each oral capsule
^ESCTNO696967	Nortriptyline + Fluphenazine
^ESCTNO696970	Nortriptyline +Fluphenazine
^ESCTNO835498	Nortriptyline 25mg tablets 100 tablet
^ESCTNO846636	Nortriptyline 10mg tablets 100 tablet
^ESCTNO848466	Nortriptyline 10mg / Fluphenazine 500microgram tablets 100 tablet
^ESCTNO848669	Nortriptyline 30mg / Fluphenazine 1.5mg tablets 28 tablet
^ESCTNO968035	Nortriptyline 25mg/5ml oral solution 1 ml
^ESCTNO968036	Nortriptyline 25mg/5ml oral solution (Special Order)
^ESCTNO968037	Nortriptyline 25mg/5ml oral solution (Special Order) 1 ml
^ESCTNO968038	Nortriptyline 25mg/5ml oral suspension 1 ml
^ESCTNO968039	Nortriptyline 25mg/5ml oral suspension (Special Order)
^ESCTNO968040	Nortriptyline 25mg/5ml oral suspension (Special Order) 1 ml
^ESCTNO968362	Nortriptyline 25mg tablets 25 tablet
^ESCTNO968397	Nortriptyline 25mg/5ml oral solution
^ESCTNO968398	Nortriptyline 25mg/5ml oral suspension
^ESCTNO977372	Nortriptyline 10mg/5ml oral solution 1 ml
^ESCTNO977373	Nortriptyline 10mg/5ml oral solution (Special Order)
^ESCTNO977374	Nortriptyline 10mg/5ml oral solution (Special Order) 1 ml
^ESCTNO977375	Nortriptyline 10mg/5ml oral suspension 1 ml
^ESCTNO977376	Nortriptyline 10mg/5ml oral suspension (Drug Tariff Special Order)
^ESCTNO977377	Nortriptyline 10mg/5ml oral suspension (Drug Tariff Special Order) 1 ml
^ESCTNO977507	Nortriptyline 10mg/5ml oral solution
^ESCTNO977508	Nortriptyline 10mg/5ml oral suspension
^ESCTPR268855	Product containing doxepin
^ESCTPR271284	Product containing nortriptyline
^ESCTPR303704	Product containing desipramine
^ESCTPR308204	Product containing imipramine
^ESCTPR315340	Product containing amitriptyline
^ESCTPR325874	Protriptyline hydrochloride
^ESCTPR329767	Protriptyline
^ESCTPR329768	Product containing protriptyline
^ESCTPR396975	Product containing trimipramine
^ESCTPR406875	Product containing clomipramine
^ESCTPR609586	Product containing amitriptyline hydrochloride 10 mg/1 each oral tablet
^ESCTPR609589	Product containing amitriptyline hydrochloride 25 mg/1 each oral tablet
^ESCTPR609592	Product containing amitriptyline hydrochloride 50 mg/1 each oral tablet
^ESCTPR609604	Product containing clomipramine hydrochloride 10 mg/1 each oral capsule
^ESCTPR609607	Product containing clomipramine hydrochloride 25 mg/1 each oral capsule
^ESCTPR609611	Product containing clomipramine hydrochloride 50 mg/1 each oral capsule
^ESCTPR609628	Product containing dothiepin hydrochloride 25 mg/1 each oral capsule
^ESCTPR609629	Product containing dosulepin hydrochloride 25 mg/1 each oral capsule
^ESCTPR609631	Product containing dothiepin hydrochloride 75 mg/1 each oral tablet
^ESCTPR609632	Product containing dosulepin hydrochloride 75 mg/1 each oral tablet
^ESCTPR609637	Product containing doxepin 10 mg/1 each oral capsule
^ESCTPR609640	Product containing doxepin 25 mg/1 each oral capsule
^ESCTPR609643	Product containing doxepin 50 mg/1 each oral capsule
^ESCTPR609646	Product containing doxepin 75 mg/1 each oral capsule
^ESCTPR609648	Product containing imipramine hydrochloride 10 mg/1 each oral tablet
^ESCTPR609651	Product containing imipramine hydrochloride 25 mg/1 each oral tablet
^ESCTPR609657	Product containing lofepramine
^ESCTPR609661	Product containing lofepramine 70 mg/1 each oral tablet
^ESCTPR609687	Product containing nortriptyline 10 mg/1 each oral tablet
^ESCTPR609693	Product containing nortriptyline 25 mg/1 each oral tablet
^ESCTPR609707	Product containing trimipramine 50 mg/1 each oral capsule
^ESCTPR609709	Product containing trimipramine 10 mg/1 each oral tablet
^ESCTPR609712	Product containing trimipramine 25 mg/1 each oral tablet
^ESCTPR609739	Product containing fluphenazine hydrochloride 1.5 mg and nortriptyline 30 mg/1 each oral tablet
^ESCTPR609742	Product containing fluphenazine hydrochloride 0.5 milligram and nortriptyline 10 milligram/1 each oral tablet
^ESCTPR609745	Product containing amitriptyline hydrochloride 25 mg and perphenazine 2 mg/1 each oral tablet
^ESCTPR609748	Product containing amitriptyline hydrochloride 10 mg and perphenazine 2 mg/1 each oral tablet
^ESCTPR618926	Product containing dosulepin
^ESCTPR618927	Product containing dothiepin
^ESCTPR637143	Protriptyline
^ESCTPR638727	Product containing trimipramine maleate 25 mg/1 each oral capsule
^ESCTPR638730	Product containing trimipramine maleate 100 mg/1 each oral capsule
^ESCTPR638807	Product containing amitriptyline hydrochloride 75 mg/1 each oral tablet
^ESCTPR638814	Product containing amitriptyline hydrochloride 100 mg/1 each oral tablet
^ESCTPR638816	Product containing amitriptyline hydrochloride 150 mg/1 each oral tablet
^ESCTPR639032	Product containing imipramine pamoate 100 mg/1 each oral capsule
^ESCTPR639034	Product containing imipramine pamoate 125 mg/1 each oral capsule
^ESCTPR639036	Product containing imipramine pamoate 150 mg/1 each oral capsule
^ESCTPR639391	Product containing doxepin hydrochloride 150 mg/1 each oral capsule
^ESCTPR639461	Product containing imipramine pamoate 75 mg/1 each oral capsule
^ESCTPR639467	Product containing imipramine hydrochloride 50 mg/1 each oral tablet
^ESCTPR639955	Product containing nortriptyline hydrochloride 50 mg/1 each oral capsule
^ESCTPR640174	Product containing doxepin hydrochloride 100 mg/1 each oral capsule
^ESCTPR640385	Product containing desipramine hydrochloride 10 mg/1 each oral tablet
^ESCTPR640387	Product containing desipramine hydrochloride 25 mg/1 each oral tablet
^ESCTPR640389	Product containing desipramine hydrochloride 50 mg/1 each oral tablet
^ESCTPR640391	Product containing desipramine hydrochloride 75 mg/1 each oral tablet
^ESCTPR640393	Product containing desipramine hydrochloride 100 mg/1 each oral tablet
^ESCTPR640395	Product containing desipramine hydrochloride 150 mg/1 each oral tablet
^ESCTPR640770	Product containing nortriptyline hydrochloride 75 mg/1 each oral capsule
^ESCTPR641163	Product containing nortriptyline hydrochloride 10 mg/1 each oral capsule
^ESCTPR641192	Product containing clomipramine hydrochloride 75 mg/1 each oral capsule
^ESCTPR641217	Product containing nortriptyline hydrochloride 25 mg/1 each oral capsule
^ESCTPR641306	Protriptyline 5mg tablets
^ESCTPR641307	Product containing protriptyline hydrochloride 5 mg/1 each oral tablet
^ESCTPR641308	Protriptyline hydrochloride 5 mg oral tablet
^ESCTPR641309	Protriptyline 10mg tablets
^ESCTPR641310	Product containing protriptyline hydrochloride 10 mg/1 each oral tablet
^ESCTPR641311	Protriptyline hydrochloride 10 mg oral tablet
^ESCTPR642557	Product containing amitriptyline hydrochloride 12.5 mg and chlordiazepoxide 5 mg/1 each oral tablet
^ESCTPR642560	Product containing amitriptyline hydrochloride 10 mg and perphenazine 4 mg/1 each oral tablet
^ESCTPR645167	Product containing amitriptyline hydrochloride 25 mg and perphenazine 4 mg/1 each oral tablet
^ESCTPR645169	Product containing amitriptyline hydrochloride 50 mg and perphenazine 4 mg/1 each oral tablet
^ESCTPR645786	Product containing amitriptyline in oral dosage form
^ESCTPR645788	Product containing amitriptyline in parenteral dosage form
^ESCTPR645943	Product containing imipramine in parenteral dosage form
^ESCTPR696969	Product containing fluphenazine and nortriptyline
^ESCTPR696987	Product containing amitriptyline and perphenazine
^ESCTPR709263	Product containing imipramine in oral dosage form
^ESCTPR710153	Product containing amitriptyline 12.5 mg and chlordiazepoxide 10 mg/1 each oral tablet
^ESCTPR720865	Product containing doxepin in oral dosage form
^ESCTPR722064	Product containing doxepin in topical dosage form
^ESCTPR729788	Product containing doxepin 3 mg/1 each oral tablet
^ESCTPR729790	Product containing doxepin 6 mg/1 each oral tablet
^ESCTPR771472	Product containing clomipramine in oral dosage form
^ESCTPR806720	Prothiaden 25mg capsules (Teofarma)
^ESCTPR810624	Prepadine 75mg tablets (Teva UK Ltd)
^ESCTPR813501	Prepadine 25mg capsules (Teva UK Ltd)
^ESCTPR822875	Prothiaden 75mg tablets (Teofarma)
^ESCTPR849960	Prepadine 25mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTPR849977	Prothiaden 25mg capsules (Teofarma) 100 capsule
^ESCTPR849979	Prothiaden 25mg capsules (Teofarma) 600 capsule
^ESCTPR850013	Prepadine 75mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets
^ESCTPR850029	Prothiaden 75mg tablets (Teofarma) 28 tablet
^ESCTPR850031	Prothiaden 75mg tablets (Teofarma) 500 tablet
^ESCTPR952450	Prothiaden 25mg capsules (Teofarma) 28 capsule 2 x 14 capsules
^ESCTSI808116	Sinequan 10mg capsules (Pfizer Ltd)
^ESCTSI808287	Sinequan 75mg capsules (Pfizer Ltd)
^ESCTSI813649	Sinequan 25mg capsules (Pfizer Ltd)
^ESCTSI820508	Sinequan 50mg capsules (Pfizer Ltd)
^ESCTSI856768	Sinequan 10mg capsules (Pfizer Ltd) 56 capsule 4 x 14 capsules
^ESCTSI856777	Sinequan 25mg capsules (Pfizer Ltd) 28 capsule 2 x 14 capsules
^ESCTSI856781	Sinequan 50mg capsules (Pfizer Ltd) 28 capsule 2 x 14 capsules
^ESCTSI856785	Sinequan 75mg capsules (Pfizer Ltd) 28 capsule 2 x 14 capsules
^ESCTSI935631	Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd)
