^ESCT1165213	Olanzapine pamoate
^ESCT1223437	Product containing precisely thioridazine hydrochloride 100 milligram/1 each conventional release oral tablet
^ESCT1223438	Thioridazine 5 mg/mL oral suspension
^ESCT1223439	Product containing precisely thioridazine 5 milligram/1 milliliter conventional release oral suspension
^ESCT1223440	Product containing precisely thioridazine 20 milligram/1 milliliter conventional release oral suspension
^ESCT1223441	Thioridazine 20 mg/mL oral suspension
^ESCT1223442	Thioridazine (as thioridazine hydrochloride) 5 mg/mL oral solution
^ESCT1223443	Product containing precisely thioridazine (as thioridazine hydrochloride) 5 milligram/1 milliliter conventional release oral solution
^ESCT1223444	Product containing precisely trifluoperazine 1 milligram/1 each conventional release oral tablet
^ESCT1223445	Product containing precisely trifluoperazine 5 milligram/1 each conventional release oral tablet
^ESCT1223446	Product containing precisely zuclopenthixol 2 milligram/1 each conventional release oral tablet
^ESCT1223447	Product containing precisely zuclopenthixol 10 milligram/1 each conventional release oral tablet
^ESCT1223448	Product containing precisely zuclopenthixol 25 milligram/1 each conventional release oral tablet
^ESCT1223449	Loxapine 10 mg oral capsule
^ESCT1223450	Product containing precisely loxapine 10 milligram/1 each conventional release oral capsule
^ESCT1223451	Product containing precisely loxapine 25 milligram/1 each conventional release oral capsule
^ESCT1223452	Loxapine 25 mg oral capsule
^ESCT1223453	Product containing precisely loxapine 50 milligram/1 each conventional release oral capsule
^ESCT1223454	Loxapine 50 mg oral capsule
^ESCT1223455	Product containing precisely clozapine 25 milligram/1 each conventional release oral tablet
^ESCT1223456	Product containing precisely clozapine 100 milligram/1 each conventional release oral tablet
^ESCT1223457	Product containing precisely risperidone 1 milligram/1 each conventional release oral tablet
^ESCT1223458	Product containing precisely risperidone 2 milligram/1 each conventional release oral tablet
^ESCT1223459	Product containing precisely risperidone 3 milligram/1 each conventional release oral tablet
^ESCT1223460	Product containing precisely risperidone 4 milligram/1 each conventional release oral tablet
^ESCT1223461	Risperidone 1 mg/mL oral solution
^ESCT1223462	Product containing precisely risperidone 1 milligram/1 milliliter conventional release oral solution
^ESCT1223463	Product containing precisely risperidone 6 milligram/1 each conventional release oral tablet
^ESCT1223464	Risperidone 500 microgram oral tablet
^ESCT1223465	Product containing precisely risperidone 500 microgram/1 each conventional release oral tablet
^ESCT1223466	Sertindole
^ESCT1223467	Product containing sertindole
^ESCT1223468	Sertindole product
^ESCT1223469	Product containing precisely olanzapine 5 milligram/1 each conventional release oral tablet
^ESCT1223470	Product containing precisely olanzapine 7.5 milligram/1 each conventional release oral tablet
^ESCT1223471	Product containing precisely olanzapine 10 milligram/1 each conventional release oral tablet
^ESCT1223472	Product containing precisely olanzapine 2.5 milligram/1 each conventional release oral tablet
^ESCT1223473	Quetiapine (as quetiapine fumarate) 25 mg oral tablet
^ESCT1223474	Product containing precisely quetiapine (as quetiapine fumarate) 25 milligram/1 each conventional release oral tablet
^ESCT1223475	Product containing precisely quetiapine (as quetiapine fumarate) 100 milligram/1 each conventional release oral tablet
^ESCT1223476	Quetiapine (as quetiapine fumarate) 100 mg oral tablet
^ESCT1223477	Product containing precisely quetiapine (as quetiapine fumarate) 200 milligram/1 each conventional release oral tablet
^ESCT1223478	Quetiapine (as quetiapine fumarate) 200 mg oral tablet
^ESCT1223479	Product containing precisely quetiapine 150 milligram/1 each conventional release oral tablet
^ESCT1223480	Amisulpride
^ESCT1223481	Amisulpride product
^ESCT1223482	Product containing precisely amisulpride 50 milligram/1 each conventional release oral tablet
^ESCT1223483	Product containing precisely amisulpride 200 milligram/1 each conventional release oral tablet
^ESCT1223484	Zotepine
^ESCT1223485	Zotepine product
^ESCT1223486	Product containing precisely zotepine 25 milligram/1 each conventional release oral tablet
^ESCT1223487	Product containing precisely zotepine 50 milligram/1 each conventional release oral tablet
^ESCT1223488	Product containing precisely zotepine 100 milligram/1 each conventional release oral tablet
^ESCT1223489	Fluphenazine decanoate
^ESCT1223490	Fluphenazine decanoate product
^ESCT1223491	Fluphenazine enanthate
^ESCT1223492	Product containing fluphenazine enanthate
^ESCT1223493	Fluphenazine enanthate product
^ESCT1223494	Fluspirilene
^ESCT1223495	Product containing fluspirilene
^ESCT1223496	Fluspirilene product
^ESCT1223497	Haloperidol decanoate
^ESCT1223498	Product containing haloperidol decanoate
^ESCT1223499	Haloperidol decanoate product
^ESCT1223500	Zuclopenthixol decanoate
^ESCT1223501	Zuclopenthixol decanoate product
^ESCT1223568	Product containing precisely fluphenazine hydrochloride 1.5 milligram and nortriptyline 30 milligram/1 each conventional release oral tablet
^ESCT1223569	Fluphenazine hydrochloride 500 microgram and nortriptyline 10 mg oral tablet
^ESCT1223570	Product containing precisely fluphenazine hydrochloride 500 microgram and nortriptyline 10 milligram/1 each conventional release oral tablet
^ESCT1223571	Product containing precisely amitriptyline 25 milligram and perphenazine 2 milligram/1 each conventional release oral tablet
^ESCT1223572	Amitriptyline 25 mg and perphenazine 2 mg oral tablet
^ESCT1223573	Product containing precisely amitriptyline 10 milligram and perphenazine 2 milligram/1 each conventional release oral tablet
^ESCT1223574	Amitriptyline 10 mg and perphenazine 2 mg oral tablet
^ESCT1223575	Flupentixol 500 microgram oral tablet
^ESCT1223576	Product containing precisely flupentixol 500 microgram/1 each conventional release oral tablet
^ESCT1223577	Product containing precisely flupentixol 1 milligram/1 each conventional release oral tablet
^ESCT1223578	Flupentixol 1 mg oral tablet
^ESCT1223644	Prochlorperazine mesylate 5 mg effervescent oral granules sachet
^ESCT1223645	Product containing precisely prochlorperazine mesylate 5 milligram/1 sachet conventional release effervescent oral granules
^ESCT1223646	Product containing precisely prochlorperazine maleate 3 milligram/1 each conventional release buccal tablet
^ESCT1223647	Prochlorperazine maleate 3 mg buccal tablet
^ESCT1223648	Product containing precisely prochlorperazine maleate 5 milligram/1 each conventional release oral tablet
^ESCT1223649	Product containing precisely prochlorperazine maleate 25 milligram/1 each conventional release oral tablet
^ESCT1223650	Prochlorperazine maleate 5 mg rectal suppository
^ESCT1223651	Product containing precisely prochlorperazine maleate 5 milligram/1 each conventional release rectal suppository
^ESCT1223652	Prochlorperazine maleate 25 mg rectal suppository
^ESCT1223653	Product containing precisely prochlorperazine maleate 25 milligram/1 each conventional release rectal suppository
^ESCT1226490	Fentanyl+droperidol
^ESCT1226491	Product containing droperidol and fentanyl
^ESCT1226492	Droperidol and fentanyl product
^ESCT1226708	Product containing precisely chlorpromazine (as chlorpromazine hydrochloride) 25 milligram/1 each conventional release rectal suppository
^ESCT1226709	Chlorpromazine (as chlorpromazine hydrochloride) 25 mg rectal suppository
^ESCT1226773	Pipotiazine
^ESCT1226774	Pipotiazine product
^ESCT1226775	Pipothiazine product
^ESCT1226776	Oxypertine
^ESCT1226777	Oxypertine product
^ESCT1227779	Product containing precisely olanzapine 20 milligram/1 each conventional release oral tablet
^ESCT1228032	Product containing precisely haloperidol 1 milligram/1 each conventional release oral tablet
^ESCT1228196	Ziprasidone (as ziprasidone hydrochloride) 20 mg oral capsule
^ESCT1228197	Product containing precisely ziprasidone (as ziprasidone hydrochloride) 20 milligram/1 each conventional release oral capsule
^ESCT1228198	Ziprasidone hydrochloride 40 mg/1 each oral capsule
^ESCT1228199	Product containing precisely ziprasidone hydrochloride 40 milligram/1 each conventional release oral capsule
^ESCT1228200	Ziprasidone hydrochloride 40 mg oral capsule
^ESCT1228201	Product containing precisely ziprasidone (as ziprasidone hydrochloride) 60 milligram/1 each conventional release oral capsule
^ESCT1228202	Ziprasidone (as ziprasidone hydrochloride) 60 mg oral capsule
^ESCT1228203	Ziprasidone hydrochloride 80 mg/1 each oral capsule
^ESCT1228204	Ziprasidone hydrochloride 80 mg oral capsule
^ESCT1228205	Product containing precisely ziprasidone hydrochloride 80 milligram/1 each conventional release oral capsule
^ESCT1228287	Product containing precisely fluphenazine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1228342	Product containing precisely haloperidol 2 milligram/1 each conventional release oral tablet
^ESCT1228584	Loxapine succinate 5 mg/1 each oral capsule
^ESCT1228585	Product containing precisely loxapine succinate 5 milligram/1 each conventional release oral capsule
^ESCT1228586	Loxapine succinate 5 mg oral capsule
^ESCT1228614	Product containing precisely thioridazine hydrochloride 150 milligram/1 each conventional release oral tablet
^ESCT1228615	Product containing precisely thioridazine hydrochloride 200 milligram/1 each conventional release oral tablet
^ESCT1228616	Product containing precisely thioridazine hydrochloride 15 milligram/1 each conventional release oral tablet
^ESCT1228652	Product containing precisely perphenazine 16 milligram/1 each conventional release oral tablet
^ESCT1228654	Product containing precisely perphenazine 8 milligram/1 each conventional release oral tablet
^ESCT1228668	Risperidone 0.25 mg oral tablet
^ESCT1228669	Risperidone 250 microgram oral tablet
^ESCT1228670	Product containing precisely risperidone 250 microgram/1 each conventional release oral tablet
^ESCT1228772	Product containing precisely pimozide 1 milligram/1 each conventional release oral tablet
^ESCT1228787	Product containing precisely trifluoperazine hydrochloride 2 milligram/1 each conventional release oral tablet
^ESCT1228788	Product containing precisely trifluoperazine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1228795	Product containing precisely olanzapine 15 milligram/1 each conventional release oral tablet
^ESCT1228888	Prochlorperazine 10 mg/1 each oral capsule
^ESCT1228889	Prochlorperazine 10 mg oral capsule
^ESCT1228890	Product containing precisely prochlorperazine 10 milligram/1 each conventional release oral capsule
^ESCT1228891	Prochlorperazine 15 mg/1 each oral capsule
^ESCT1228892	Product containing precisely prochlorperazine 15 milligram/1 each conventional release oral capsule
^ESCT1228893	Prochlorperazine 15 mg oral capsule
^ESCT1228894	Product containing precisely prochlorperazine maleate 10 milligram/1 each conventional release oral tablet
^ESCT1228898	Product containing precisely chlorpromazine hydrochloride 200 milligram/1 each conventional release oral tablet
^ESCT1229246	Amitriptyline hydrochloride 10 mg and perphenazine 4 mg oral tablet
^ESCT1229247	Product containing precisely amitriptyline 10 milligram and perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1229248	Amitriptyline 10 mg and perphenazine 4 mg oral tablet
^ESCT1229447	Amitriptyline hydrochloride 25 mg and perphenazine 4 mg oral tablet
^ESCT1229448	Amitriptyline 25 mg and perphenazine 4 mg oral tablet
^ESCT1229449	Product containing precisely amitriptyline 25 milligram and perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1229450	Amitriptyline hydrochloride 50 mg and perphenazine 4 mg oral tablet
^ESCT1229451	Amitriptyline 50 mg and perphenazine 4 mg oral tablet
^ESCT1229452	Product containing precisely amitriptyline 50 milligram and perphenazine 4 milligram/1 each conventional release oral tablet
^ESCT1229953	Tranylcypromine + Trifluoperazine
^ESCT1229954	Product containing tranylcypromine and trifluoperazine
^ESCT1229955	Tranylcypromine and trifluoperazine product
^ESCT1230139	Product containing precisely amisulpride 100 milligram/1 each conventional release oral tablet
^ESCT1230309	Aripiprazole
^ESCT1230310	Aripiprazole product
^ESCT1230311	Product containing precisely aripiprazole 5 milligram/1 each conventional release oral tablet
^ESCT1230312	Product containing precisely aripiprazole 10 milligram/1 each conventional release oral tablet
^ESCT1230313	Product containing precisely aripiprazole 15 milligram/1 each conventional release oral tablet
^ESCT1230314	Product containing precisely aripiprazole 20 milligram/1 each conventional release oral tablet
^ESCT1230315	Product containing precisely aripiprazole 30 milligram/1 each conventional release oral tablet
^ESCT1230377	Product containing precisely sulpiride 40 milligram/1 milliliter conventional release oral solution
^ESCT1230378	Sulpiride 40 mg/mL oral solution
^ESCT1230596	Product containing precisely clozapine 12.5 milligram/1 each conventional release oral tablet
^ESCT1230597	Olanzapine + fluoxetine
^ESCT1230598	Fluoxetine and olanzapine product
^ESCT1230599	Olanzapine 6 mg and fluoxetine 25 mg/1 each oral capsule
^ESCT1230600	Product containing precisely fluoxetine hydrochloride 25 milligram and olanzapine 6 milligram/1 each conventional release oral capsule
^ESCT1230601	Fluoxetine hydrochloride 25 mg and olanzapine 6 mg oral capsule
^ESCT1230602	Olanzapine 6 mg and fluoxetine 50 mg/1 each oral capsule
^ESCT1230603	Fluoxetine hydrochloride 50 mg and olanzapine 6 mg oral capsule
^ESCT1230604	Product containing precisely fluoxetine hydrochloride 50 milligram and olanzapine 6 milligram/1 each conventional release oral capsule
^ESCT1230605	Olanzapine 12 mg and fluoxetine 25 mg/1 each oral capsule
^ESCT1230606	Product containing precisely fluoxetine hydrochloride 25 milligram and olanzapine 12 milligram/1 each conventional release oral capsule
^ESCT1230607	Fluoxetine hydrochloride 25 mg and olanzapine 12 mg oral capsule
