#AUTOGENERATED	DONT EDIT
A0223	Salmonella arthritis
Fyu07	[X]Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere
Fyu08	[X]Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere
Fyu0B	[X]Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
Fyu0D	[X]Extradural and subdural abscess, unspecified
H27y0	Influenza with encephalopathy
X000d	Viral ventriculitis
X000e	Bacterial ventriculitis
X000f	Fungal ventriculitis
X000g	Malignant ventriculitis
X000h	Encephalitis
X000H	Meningitis
X000i	Acute viral encephalitis
X000j	Enteroviral encephalitis
X000J	Coxsackie A viral meningitis
X000K	Coxsackie B viral meningitis
X000l	Mosquito-borne alphavirus encephalitis
X000L	Chronic echovirus meningoencephalitis
X000M	Postmeasles meningitis
X000n	Mosquito-borne flavivirus encephalitis
X000o	Ilheus virus encephalitis
X000p	Rocio virus encephalitis
X000P	Staphylococcus aureus meningitis
X000q	Mosquito-borne bunyavirus encephalitis
X000Q	Staphylococcus epidermidis meningitis
X000r	La Crosse encephalitis
X000R	Meningitis in Lyme disease
X000T	Late congenital syphilitic meningitis
X000u	Tensaw encephalitis
X000V	Parasitic meningitis
X000w	Negishi virus encephalitis
X000x	Kumlinge virus encephalitis
X000z	Thogoto fever
X000Z	Benign recurrent endothelioleucocytic meningitis
X0010	Tick-borne orbivirus encephalitis
X0012	Rhabdovirus encephalitis
X0013	Cytomegaloviral encephalitis
X0014	Infectious mononucleosis encephalitis
X0015	Adenoviral encephalitis
X0016	Herpes zoster encephalitis
X0017	Herpes simiae encephalitis
X0019	Chronic viral encephalitis
X001a	Varicella transverse myelitis
X001B	Human immunodefiency virus encephalitis
X001C	Human immunodefiency virus leucoencephalopathy
X001D	Progressive rubella panencephalitis
X001E	Bacterial encephalitis
X001f	Tropical spastic paraplegia
X001F	Encephalitis in listeriosis
X001g	Spastic paraplegia associated with human T-cell lymphotropic virus - 1 infection
X001I	Late syphilitic encephalitis
X001J	Fungal encephalitis
X001L	Amoebic encephalitis
X001m	Epidural supratentorial pyogenic abscess
X001M	Primary amoebic encephalitis
X001n	Epidural infratentorial pyogenic abscess
X001N	Granulomatous amoebic encephalitis
X001p	Subdural supratentorial pyogenic abscess
X001q	Subdural infratentorial pyogenic abscess
X001r	Parenchymal intracranial abscess
X001s	Cerebral pyogenic abscess
X001S	Rasmussen syndrome
X001t	Actinomycotic brain abscess
X001u	Brainstem pyogenic abscess
X001V	Neuro - Whipples disease
X001W	Myelitis and encephalomyelitis
X001X	Encephalomyelitis NOS
X001y	Candidal brain abscess
X001z	Cerebral hydatid cyst
X001Z	Acute viral transverse myelitis
X0020	Cerebral cysticercosis
X0021	Intraspinal pyogenic abscess
X002B	Septic thrombophlebitis of great cerebral vein
X002X	Varicella cerebellar ataxia
X003K	Spongiform encephalopathy
X003L	Prion protein disease
X003M	Gerstmann-Straussler-Scheinker syndrome
X003N	Familial fatal insomnia
X00B5	Diphtheritic neuropathy
X00G6	Focal excision of brain abscess
X702Q	Tabetic joint
X70HV	Listeria cerebritis
X70Ii	Legionella encephalopathy
X70Iv	Abortive poliomyelitis
X70Iw	Acute paralytic poliomyelitis
X70J0	Incubating rabies
X70J1	Rabies prodrome
X70J2	Acute neurological rabies
X70J3	Rabies coma
X70J4	Rabies - recovery phase
X70Ja	Herpes simiae infection
X70Kt	Tick-borne orbivirus fever
X70MA	Juvenile general paresis
X70Mb	Tabo paresis
X70MB	Juvenile tabes dorsalis
X70Mc	Meningovascular syphilis - quaternary stage
X70MC	Juvenile taboparesis
X70MT	Secondary neurosyphilis
X70MU	Asymptomatic secondary neurosyphilis
X70Pc	Lyme neuroborreliosis
X70R2	Central nervous system candidiasis
X70Tv	Cerebral loiasis
X70Uj	Cerebral gnathostomiasis
Xa0An	Neonatal meningitis
Xa1eZ	Viral encephalitis
Xa2VM	West Russian spring-summer encephalitis
Xa2VN	East Russian spring-summer encephalitis
Xa3e2	Other central nervous system viral disease
Xa3f9	Encephalitis/myelitis NOS
Xa7pz	Syphilitic meningitis
Xa84l	Aseptic meningitis
Xa97b	Viral infections of the central nervous system
Xa97c	Poliomyelitis
Xa97d	Progressive congenital rubella encephalomyelitis
Xa9B4	Proteus meningitis
Xa9B5	Viral meningitis
Xa9B9	Septic thrombophlebitis of lateral sinus
Xa9FK	Cerebellar pyogenic abscess
XaA1S	New variant of Creutzfeldt-Jakob disease
XaB38	Aspiration of brain abscess
XabVp	Sporadic Creutzfeldt-Jakob disease
XaC1s	Encephalitis due to influenza
XaC2H	Encephalitis due to influenza-virus identified
XaCMf	Epidural abscess
XaDck	Fungal central nervous system infection
XaDmR	Infective encephalitis
XaDmS	Infective meningitis
XaDmT	Infective ventriculitis
XaDsU	Tick-borne coltivirus encephalitis
XaEI4	Myelitis
XaEI5	Encephalomyelitis
XaELR	Meningococcal meningitis with acute meningococcal septicaemia
XaEYW	Meningococcal meningitis with meningococcal septicaemia
XE0R7	Viral meningitis NOS
XE0R8	Non-arthropod-borne viral diseases of the central nervous system NOS
XE0RG	California viral encephalitis
XE0RI	Viral encephalitis from other arthropods
XE0Rj	Late congenital neurosyphilis
XE0Rq	Late quaternary neurosyphilis
XE0Rs	General paresis of the insane
XE0Ta	Rabies - hydrophobia
XE15A	Meningitis - viral NOS
XE15B	Encephalitis, myelitis and encephalomyelitis
XE15C	Other causes of encephalitis
XE15D	Encephalitis NOS
XE17V	Other meningitis NOS &/or arachnoiditis
XE2rq	Intracranial abscess
XE2uG	Rabies
XM1OD	Hydrophobia
XSCD2	Tuberculosis of central nervous system
A140.	Tuberculous peritonitis
A32y2	Diphtheritic peritonitis
A952.	Syphilitic peritonitis
A98y5	Gonococcal peritonitis
J200.	Acute appendicitis with peritonitis
J55..	Peritonitis
J550.	Peritonitis in infectious diseases EC
J5501	Peritonitis - syphilitic
J5503	Bacterial peritonitis
J5504	Chlamydial peritonitis
J550z	Peritonitis in infectious diseases EC NOS
J551.	Pneumococcal peritonitis
J5521	Subphrenic abscess
J5522	Omental abscess
J5523	Mesenteric abscess
J5524	Intraperitoneal abscess
J5525	Subperitoneal abscess
J5526	Retroperitoneal abscess
J5528	Paracolic abscess
J5529	Pericaecal abscess
J552A	Retrocaecal abscess
J552B	Male pelvic abscess
J552z	Other suppurative peritonitis NOS
J55y.	Other specified peritonitis
J55y0	Chronic proliferative peritonitis
J55y3	Biliary peritonitis
J55y4	Urinary peritonitis
J55yz	Other specified peritonitis NOS
J55z.	Peritonitis NOS
J56y3	Peritoneal granuloma
Jyu60	[X]Other peritonitis
K4045	Female chronic pelvic peritonitis
K4060	Acute female pelvic peritonitis
K4061	Female pelvic peritonitis unspecified
K406z	Acute and unspecified female pelvic peritonitis NOS
K408.	Other chronic female pelvic peritonitis
K4103	Acute perimetritis
K4108	Subacute perimetritis
K4113	Chronic perimetritis
Kyu87	[X]Female pelvic peritonitis, unspecified
L0902	Pelvic peritonitis following abortive pregnancy
Q46y0	Neonatal peritonitis NOS
Qyu71	[X]Other neonatal peritonitis
SP270	Aseptic peritonitis
SP271	Chemical peritonitis
X304N	Appendix abscess
X309b	Purulent peritonitis
X309c	Abscess of suppurative peritonitis
X309d	Faecal peritonitis
X309e	Spontaneous bacterial peritonitis
X309g	Fungal peritonitis
X309h	Parasitic peritonitis
X309i	Meconium peritonitis
X309j	Talc peritonitis
X309k	Starch peritonitis
X309l	Barium peritonitis
X309n	Sclerosing peritonitis
X406M	Female pelvic peritonitis
Xa07p	Neonatal peritonitis
Xa0Ex	Peritoneal dialysis-associated peritonitis
Xa0WI	Ventriculoperitoneal shunt-associated peritonitis
XaB63	Gonococcal pelvic peritonitis
XaC2Z	[X] Peritoneal dialysis associated peritonitis
XaDcz	Infective peritonitis
XaREO	Continuous ambulatory peritoneal dialysis associated peritonitis
XaYaL	Acute appendicitis with generalised peritonitis
XaYaN	Acute appendicitis with localised peritonitis
XaZSs	Staphylococcal peritonitis
XaZSu	Streptococcal peritonitis
XE0aV	Acute appendicitis with appendix abscess
XE0ay	Other suppurative peritonitis
XE0eQ	Acute and unspecified female pelvic peritonitis
XSCm1	Acute peritonitis
L402.	Puerperal peritonitis
K3107	Retromammary breast abscess
L17..	Infective/parasitic disease in preg/childbirth/puerperium
L176.	Other maternal viral disease during pregnancy, childbirth and the puerperium
L1760	Other maternal viral disease, unspecified whether during pregnancy or the puerperium
L176z	Other maternal viral disease during pregnancy, childbirth or the puerperium NOS
L17y.	Other maternal infective or parasitic disease during pregnancy, childbirth and the puerperium
L17y0	Other maternal infective or parasitic disease, unspecified whether during pregnancy or the puerperium
L17y1	Other maternal infective or parasitic disese during pregnancy - baby delivered
L17y2	Other maternal infective or parasitic disease in the puerperium - baby delivered during current episode of care
L17y3	Other maternal infective or parasitic disease during pregnancy - baby not yet delivered
L17y4	Other maternal infective or parasitic disease in the puerperium - baby delivered during previous episode of care
L17yz	Other maternal infective or parasitic disease during pregnancy, childbirth or the puerperium NOS
L17z.	Maternal infective or parasitic disease NOS in pregnancy, childbirth and the puerperium
L17z0	Maternal infective or parasitic disease NOS, unspecified whether during pregnancy or the puerperium
L17z1	Maternal infective or parasitic disease NOS, during pregnancy - baby delivered
L17z2	Maternal infective or parasitic disease NOS, in the puerperium - baby delivered during current episode of care
L17z3	Maternal infective or parasitic disease NOS, during pregnancy - baby not yet delivered
L17z4	Maternal infective or parasitic disease NOS, in the puerpium - baby delivered during previous episode of care
L17zz	Maternal infective or parasitic disease NOS, during pregnancy, childbirth or the puerperium NOS
L400.	Puerperal endometritis
L4000	Puerperal endometritis unspecified
L4001	Puerperal endometritis - delivered with postnatal complication
L4002	Puerperal endometritis with postnatal complication
L400z	Puerperal endometritis NOS
L401.	Puerperal salpingitis
L4010	Puerperal salpingitis unspecified
L4011	Puerperal salpingitis - delivered with postnatal complication
L4012	Puerperal salpingitis with postnatal complication
L401z	Puerperal salpingitis NOS
L4020	Puerperal peritonitis unspecified
L4021	Puerperal peritonitis - delivered with postnatal complication
L4022	Puerperal peritonitis with postnatal complication
L402z	Puerperal peritonitis NOS
L403.	Puerperal septicaemia
L4030	Puerperal septicaemia unspecified
L4031	Puerperal septicaemia - delivered with postnatal complication
L4032	Puerperal septicaemia with postnatal complication
L403z	Puerperal septicaemia NOS
L40z.	Major puerperal infection NOS
L40z0	Major puerperal infection NOS, unspecified
L40z1	Major puerperal infection NOS - delivered with postnatal complication
L40z2	Major puerperal infection NOS with postnatal complication
L420z	Puerperal pyrexia NOS
L45..	Obstetric breast infections
L4500	Obstetric nipple infection unspecified
L4501	Obstetric nipple infection - delivered
L4504	Obstetric nipple infection with postnatal complication
L450z	Obstetric nipple infection NOS
L4510	Obstetric breast abscess unspecified
L4511	Obstetric breast abscess - delivered
L4514	Obstetric breast abscess with postnatal complication
L451z	Obstetric breast abscess NOS
L4520	Obstetric non-purulent mastitis unspecified
L4521	Obstetric non-purulent mastitis - delivered
L4522	Obstetric non-purulent mastitis - delivered with postnatal complication
L4523	Obstetric non-purulent mastitis with antenatal complication
L4524	Obstetric non-purulent mastitis with postnatal complication
L452z	Obstetric non-purulent mastitis NOS
L45y.	Other obstetric breast infections
L45y0	Other obstetric breast infection unspecified
L45y1	Other obstetric breast infection - delivered
L45y2	Other obstetric breast infection - delivered with postnatal complication
L45y3	Other obstetric breast infection with antenatal complication
L45y4	Other obstetric breast infection with postnatal complication
L45yz	Other obstetric breast infection NOS
L45z.	Obstetric breast infection NOS
L45z0	Obstetric breast infection NOS, unspecified
L45z1	Obstetric breast infection NOS - delivered
L45z2	Obstetric breast infection NOS - delivered with postnatal complication
L45z3	Obstetric breast infection NOS with antenatal complication
L45z4	Obstetric breast infection NOS with postnatal complication
Lyu62	[X]Other specified puerperal infection
X40Di	Puerperal pyrexia
X40Dr	Abscess of nipple - obstetric
X40FP	Breast abscess
X40FT	Mastitis
XaC10	[X]Infection of caesarean section wound following delivery
XE0xH	Puerperal sepsis
XE0xR	Obstetric nipple infection
XE2QY	Obstetric breast abscess
XE2sm	Obstetric non-purulent mastitis
XM0tj	Mastitis - obstetric
XM1PK	Lymphangitis of breast - obstetric
L3945	Infection of obstetric surgical wound
A160.	Renal tuberculosis
A1600	Tuberculous nephropathy
A1601	Tuberculous pyelitis
A1602	Tuberculous pyelonephritis
A160z	Tuberculosis of kidney NOS
K10..	Infection of kidney
K100.	Chronic pyelonephritis
K1001	Chronic pyelonephritis with medullary necrosis
K1002	Chronic pyelitis
K1003	Chronic pyonephrosis
K1004	Non-obstructive reflux-associated chronic pyelonephritis
K1006	Calculous pyelonephritis
K100z	Chronic pyelonephritis NOS
K101.	Acute pyelonephritis
K1010	Acute pyelonephritis without medullary necrosis
K1011	Acute pyelonephritis with medullary necrosis
K1012	Acute pyelitis
K1013	Acute pyonephrosis
K101z	Acute pyelonephritis NOS
K102.	Renal and perinephric abscess
K1020	Renal abscess
K1021	Perinephric abscess
K102z	Renal and perinephric abscess NOS
K10y.	Pyelonephritis and pyonephrosis unspecified
K10y0	Pyelonephritis unspecified
K10y1	Pyelitis unspecified
K10y2	Pyonephrosis unspecified
K10y3	Pyelonephritis in diseases EC
K10y4	Pyelitis in diseases EC
K10yz	Unspecified pyelonephritis NOS
K10z.	Infection of kidney NOS
L1665	Infections of kidney in pregnancy
X30Hj	Emphysematous pyelonephritis
X30Hk	Acute infective interstitial nephritis
X30Hl	Chronic infective interstitial nephritis
X30Hm	Emphysematous pyelitis
X30Ho	Pyonephrosis
X30Hr	Candida pyelonephritis
X30Hu	Reflux nephropathy
X30Hv	Chronic obstructive pyelonephritis
X30Jd	Xanthogranulomatous pyelonephritis
X30Mj	Cytomegalovirus-induced glomerulonephritis
Xa20b	Acute focal pyelonephritis
XaZ0c	Urosepsis
XE0fD	Infection of kidney (& [pyelonephritis &/or pyelitis])
XE2bJ	Renal cortical abscess
65V7.	Notification of scarlet fever
65VA.	Notification of whooping cough
74232	Incision of retropharyngeal abscess
74261	Drainage of retropharyngeal abscess
75311	Drainage of peritonsillar abscess
A1220	Isolated tracheal tuberculosis
A12y3	Tuberculosis of nasal sinus
A154.	Tuberculous mastoiditis
A32..	Diphtheria
A321.	Nasopharyngeal diphtheria
A322.	Anterior nasal diphtheria
A323.	Laryngeal diphtheria
A32y.	Other specified diphtheria
A32yz	Other specified diphtheria NOS
A32z.	Diphtheria NOS
A33y.	Whooping cough - other specified organism
A33yz	Other whooping cough NOS
A33z.	Whooping cough NOS
A34..	Streptococcal sore throat with scarlatina
A340.	Streptococcal sore throat
A3400	Streptococcal angina
A3401	Streptococcal laryngitis
A3402	Streptococcal pharyngitis
A3403	Streptococcal tonsillitis
A340z	Streptococcal sore throat NOS
A341.	Scarlet fever
A34z.	Streptococcal sore throat with scarlatina NOS
A552.	Postmeasles otitis media
A986.	Gonococcal pharyngitis
AA12.	Vincents angina - pharyngitis
Ayu37	[X]Other diphtheria
Ayu38	[X]Diphtheria, unspecified
Ayu39	[X]Whooping cough due to other Bordetella species
Ayu3A	[X]Whooping cough, unspecified
Ayu55	[X]Other Vincents infections
F51..	Non-suppurative otitis media with eustachian tube disorders
F510.	Acute non-suppurative otitis media
F5101	Acute non-suppurative otitis media - serous
F5102	Acute non-suppurative otitis media - mucoid
F5103	Acute non-suppurative otitis media - sanguinous
F510z	Acute non-suppurative otitis media NOS
F5110	Chronic tubotympanic catarrh
F5111	Serosanguineous chronic otitis media
F5112	Bilateral chronic serous otitis
F5113	Unilateral chronic serous otitis
F511z	Chronic serous otitis media NOS
F512.	Otitis media with effusion &/or chronic secretory mucoid
F5120	Glue ear, unspecified
F5121	Mucosanguinous chronic otitis media
F512z	Chronic mucoid otitis media NOS
F513.	Chronic otitis media with effusion, other
F513z	Other chronic non-suppurative otitis media NOS
F514.	Unspecified non-suppurative otitis media
F5141	Serous otitis media NOS
F5142	Catarrhal otitis media NOS
F5143	Mucoid otitis media NOS
F514z	Non-suppurative otitis media NOS
F5150	Unspecified eustachian tube salpingitis
F5151	Acute eustachian tube salpingitis
F5152	Chronic eustachian tube salpingitis
F515z	Eustachian tube salpingitis NOS
F518.	Chronic otitis media with effusion, unspecified
F52..	Suppurative and unspecified otitis media
F520.	Acute suppurative otitis media
F5200	Acute suppurative otitis media - tympanic membrane intact
F5201	Acute suppurative otitis media - tympanic membrane ruptured
F5203	Acute suppurative otitis media due to disease EC
F520z	Acute suppurative otitis media NOS
F521.	Chronic suppurative otitis media - tubotympanic
F522.	Chronic suppurative otitis media - atticoantral
F523.	Chronic suppurative otitis media NOS
F524.	Purulent otitis media NOS
F5240	Bilateral suppurative otitis media
F525.	Recurrent acute otitis media
F526.	Acute left otitis media
F527.	Acute right otitis media
F528.	Acute bilateral otitis media
F53..	Mastoiditis and related conditions
F5300	Acute mastoiditis without complications
F5301	Subperiosteal mastoid abscess
F5302	Gradenigo syndrome
F5303	Acute mastoiditis with other complication
F530z	Acute mastoiditis NOS
F531.	Chronic mastoiditis
F5310	Caries of mastoid
F5311	Postaural mastoid fistula
F531z	Chronic mastoiditis NOS
F53y.	Other mastoid disorders
F53y1	Other mastoid disorder NOS
F53z.	Mastoiditis NOS
F540.	Acute myringitis without otitis media
F5401	Unspecified acute tympanitis
F5402	Bullous myringitis
F540z	Acute myringitis NOS
F541.	Chronic myringitis without otitis media
F551.	Adhesive otitis media
F5510	Unspecified adhesive middle ear disease
F5511	Adhesion of tympanic membrane to incus
F5512	Adhesion of tympanic membrane to stapes
F5513	Adhesion of tympanic membrane to promontory
F551z	Adhesive middle ear disease NOS
F55y0	Cholesterol granuloma
FyuP0	[X]Other acute non-suppurative otitis media
FyuP1	[X]Other chronic non-suppurative otitis media
FyuP2	[X]Other chronic suppurative otitis media
FyuP5	[X]Otitis media in other diseases classified elsewhere
FyuP7	[X]Other mastoiditis and related conditions
FyuPD	[X]Mastoiditis in infectious and parasitic diseases classified elsewhere
FyuU6	[X]Other disorders following mastoidectomy
H010.	Acute maxillary sinusitis
H011.	Acute frontal sinusitis
H012.	Acute ethmoidal sinusitis
H013.	Acute sphenoidal sinusitis
H01y.	Other acute sinusitis
H01y0	Acute pansinusitis
H01yz	Other acute sinusitis NOS
H01z.	Acute sinusitis NOS
H023.	Acute bacterial pharyngitis
H0230	Acute pneumococcal pharyngitis
H0231	Acute staphylococcal pharyngitis
H023z	Acute bacterial pharyngitis NOS
H030.	Acute erythematous tonsillitis
H031.	Acute follicular tonsillitis
H032.	Acute ulcerative tonsillitis
H033.	Acute catarrhal tonsillitis
H034.	Acute gangrenous tonsillitis
H035.	Acute bacterial tonsillitis
H0350	Acute pneumococcal tonsillitis
H0351	Acute staphylococcal tonsillitis
H035z	Acute bacterial tonsillitis NOS
H037.	Recurrent acute tonsillitis
H03z.	Acute tonsillitis NOS
H0404	Acute haemophilus influenzae laryngitis
H040x	Acute bacterial laryngitis unspecified
H041.	Acute tracheitis
H0410	Acute tracheitis without obstruction
H0411	Acute tracheitis with obstruction
H041z	Acute tracheitis NOS
H0420	Acute laryngotracheitis without obstruction
H0421	Acute laryngotracheitis with obstruction
H042z	Acute laryngotracheitis NOS
H0430	Acute epiglottitis without obstruction
H0431	Acute epiglottitis with obstruction
H043z	Acute epiglottitis NOS
H0605	Acute tracheobronchitis
H13..	Chronic sinusitis
H13y.	Other chronic sinusitis
H13yz	Other chronic sinusitis NOS
H13z.	Chronic sinusitis NOS
H14y6	Lingular tonsillitis
H15..	Peritonsillar abscess
H16..	Chronic laryngitis and laryngotracheitis
H161.	Chronic laryngotracheitis
H1y21	Pharynx or nasopharynx cellulitis
H1y22	Parapharyngeal abscess
H1y23	Retropharyngeal abscess
H1y26	Pharynx or nasopharynx abscess
H1y75	Abscess of larynx
H1yz0	Tracheal abscess
H300.	Tracheobronchitis NOS
H301.	Laryngotracheobronchitis
H31y0	Chronic tracheitis
H31y1	Chronic tracheobronchitis
Hyu00	[X]Other acute sinusitis
Hyu02	[X]Acute tonsillitis due to other specified organisms
Hyu22	[X]Other chronic sinusitis
X00ia	Granular myringitis
X00ik	Otitis media
X00ip	Acute otitis media
X00iq	Recurrent acute suppurative otitis media
X00ir	Recurrent acute non-suppurative otitis media
X00is	Chronic otitis media
X00it	Chronic suppurative otitis media
X00iu	Chronic non-suppurative otitis media
X00iv	Otitis media with effusion
X00iw	Otitis media with effusion - sanguinous
X00ix	Chronic non-suppurative otitis media without effusion
X00iz	Tympanic atelectasis
X00jF	Acute mastoiditis with complications
X00jG	Acute mastoiditis with neck abscess
X00jH	Acute mastoiditis with facial paralysis
X00jI	Acute mastoiditis with labyrinthitis
X00mq	Vincents tonsillitis
X00n2	Vincents laryngitis
X00n6	Recurrent allergic croup
X00n7	Viral epiglottitis
X104u	Acute toxic tracheobronchitis
X70I8	Bordetella infection
X70Id	Fusobacterial necrotising tonsillitis
X70Pk	Vincents infection
Xa0lc	Acute necrotising ulcerative gingivitis
Xa0lT	Disorder of mastoid
Xa0lW	Acute laryngotracheobronchitis
Xa3fH	Other mastoiditis
Xa7I0	Tonsillitis
Xa87h	Tracheitis
Xa97Y	Tuberculosis of trachea
Xa9Bk	Otitis media with effusion - serous
Xa9Bl	Otitis media with effusion - mucoid
Xa9Bm	Otitis media with effusion - purulent
Xa9Bt	Acute epiglottitis and supraglottitis
XaDmU	Infective otitis media
XaDtg	Tracheobronchitis
XaDth	Acute infective tracheobronchitis
XaDuI	Infective tonsillitis
XaEIw	Retropharyngeal abscess drained
XaNkV	Acute rhinosinusitis
XE0Qw	Whooping cough
XE0S5	Vincents angina NOS
XE0Xm	Acute sinusitis
XE0Xo	Acute laryngotracheitis
XE0Xp	Acute epiglottitis (non-streptococcal)
XE17C	Chronic non-suppurative otitis media with effusion - mucoid
XE17D	Otitis media NOS
XE17E	Acute mastoiditis
XE19r	Nonsuppurative otitis media (& [ left] or [right])
XE19t	(Glue ear) or (mucoid otitis media [& chronic])
XE19z	Chronic non-suppurative otitis media NOS
XE1A1	Suppurative otitis media &/or ([left] or [right]) &/or purulent otitis media
XE2aC	Acute tonsillitis
XE2QD	Acute otitis media with effusion
XE2QE	Eustachian tube salpingitis
XM0rD	Mastoiditis
XM1QE	Ear infection
XM1QF	Non-suppurative otitis media
XM1QH	Sinusitis
XM1QS	Laryngotracheitis
XM1QT	Acute fibrinous laryngotracheobronchitis
H023.	Acute bacterial pharyngitis
H023z	Acute bacterial pharyngitis NOS
H0405	Acute pneumococcal laryngitis
H0231	Acute staphylococcal pharyngitis
X00mN	Meningococcal pharyngitis
2DC2.	O/E - granular pharyngitis
2DC3.	Inflamed throat
A123.	Laryngeal tuberculosis
A12y1	Tuberculosis of nasopharynx
A740.	Herpangina
A772.	Viral pharyngoconjunctivitis
A7y02	Respiratory syncytial virus as the cause of diseases classified to other chapters
A7y03	Reovirus as the cause of diseases classified to other chapters
A7y05	Papillomavirus as the cause of diseases classified to other chapters
AA12.	Vincents angina - pharyngitis
AA25.	Gangosa
FyuP4	[X]Otitis media in viral diseases classified elsewhere
H020.	Acute gangrenous pharyngitis
H021.	Acute phlegmonous pharyngitis
H022.	Acute ulcerative pharyngitis
H024.	Acute viral pharyngitis
H02z.	Acute pharyngitis NOS
H030.	Acute erythematous tonsillitis
H031.	Acute follicular tonsillitis
H032.	Acute ulcerative tonsillitis
H033.	Acute catarrhal tonsillitis
H034.	Acute gangrenous tonsillitis
H036.	Acute viral tonsillitis
H037.	Recurrent acute tonsillitis
H03z.	Acute tonsillitis NOS
H040.	Acute laryngitis
H0400	Acute oedematous laryngitis
H0401	Acute ulcerative laryngitis
H0402	Acute catarrhal laryngitis
H0403	Acute phlegmonous laryngitis
H0404	Acute haemophilus influenzae laryngitis
H0406	Acute suppurative laryngitis
H040w	Acute viral laryngitis unspecified
H040z	Acute laryngitis NOS
H0420	Acute laryngotracheitis without obstruction
H0421	Acute laryngotracheitis with obstruction
H042z	Acute laryngotracheitis NOS
H0430	Acute epiglottitis without obstruction
H0431	Acute epiglottitis with obstruction
H043z	Acute epiglottitis NOS
H04z.	Acute laryngitis and tracheitis NOS
H05..	Other acute upper respiratory infections
H050.	Acute laryngopharyngitis
H053.	Tracheopharyngitis
H054.	Recurrent upper respiratory tract infection
H055.	Pharyngolaryngitis
H05y.	Other upper respiratory infections of multiple sites
H07..	Chest cold
H0y..	Other specified acute respiratory infections
H0z..	Acute respiratory infection NOS
H12..	Chronic pharyngitis and nasopharyngitis
H120.	(Chronic rhinitis) or (catarrh unspecified)
H1200	Chronic simple rhinitis
H1202	Chronic hypertrophic rhinitis
H1203	Chronic atrophic rhinitis
H1204	Chronic infective rhinitis
H1205	Chronic ulcerative rhinitis
H1206	Chronic membranous rhinitis
H1207	Chronic fibrinous rhinitis
H120z	Chronic rhinitis NOS
H1211	Atrophic pharyngitis
H1214	Pharyngitis keratosa
H1215	Pharyngitis sicca
H1216	Chronic follicular pharyngitis
H121z	Chronic pharyngitis NOS
H122.	Chronic nasopharyngitis
H12z.	Chronic pharyngitis and nasopharyngitis NOS
H143.	Chronic adenotonsillitis
H14y5	Caseous tonsillitis
H14y6	Lingular tonsillitis
H16..	Chronic laryngitis and laryngotracheitis
H160.	Chronic laryngitis
H1600	Chronic simple laryngitis
H1601	Chronic catarrhal laryngitis
H1602	Chronic hyperplastic laryngitis
H1603	Chronic atrophic laryngitis
H161.	Chronic laryngotracheitis
H16z.	Chronic laryngitis NOS
H18..	Vasomotor rhinitis
H1y..	Other specified diseases of upper respiratory tract
H1y21	Pharynx or nasopharynx cellulitis
H1y51	Cellulitis of vocal cords
H1y52	Vocal cord granuloma
H1y54	Singers chorditis
H1y55	Fibrinous chorditis
H1y57	Chorditis vocalis inferior
H1y71	Cellulitis of larynx
H1y72	Laryngeal perichondritis
H1yz.	Other upper respiratory tract diseases NOS
H1yzz	Other upper respiratory tract disease NOS
H1z..	Upper respiratory tract disease NOS
H2...	Pneumonia and influenza
H27..	Influenza
H270.	Influenzal pneumonia
H2700	Influenza with bronchopneumonia
H2701	Influenza with pneumonia, influenza virus identified
H270z	Influenza with pneumonia NOS
H271.	Influenza with other respiratory manifestation
H2710	Influenza with laryngitis
H2711	Influenza with pharyngitis
H271z	Influenza with respiratory manifestations NOS
H27y.	Influenza with other manifestations
H27y0	Influenza with encephalopathy
H27y1	Influenza with gastrointestinal tract involvement
H27yz	Influenza with other manifestations NOS
H2y..	Other specified pneumonia or influenza
H2z..	Pneumonia or influenza NOS
H301.	Laryngotracheobronchitis
Hyu01	[X]Acute pharyngitis due to other specified organisms
Hyu02	[X]Acute tonsillitis due to other specified organisms
Hyu04	[X]Influenza with other respiratory manifestations, influenza virus identified
Hyu05	[X]Influenza with other manifestations, influenza virus identified
Hyu06	[X]Influenza with other respiratory manifestations, virus not identified
Hyu07	[X]Influenza with other manifestations, virus not identified
Hyu2.	[X]Other diseases of the upper respiratory tract
Hyu2A	[X]Other specified diseases of upper respiratory tract
X00kv	Acute rhinitis
X00kx	Acute irritant rhinitis
X00ky	Rhinitis sicca
X00kz	Rhinitis caseosa
X00l0	Rhinitis medicamentosa
X00lY	Tornwaldts disease
X00mG	Pharyngitis
X00mH	Acute herpes simplex pharyngitis
X00mI	Acute herpes zoster pharyngitis
X00mJ	Enteroviral lymphonodular pharyngitis
X00mL	Glandular fever pharyngitis
X00mP	Chlamydial pharyngitis
X00ms	Acute peritonsillitis
X00mT	Chronic ulcerative pharyngitis
X00mu	Chronic adenoiditis
X00mU	Chronic pharyngeal candidiasis
X00n1	Acute simple laryngitis
X00n4	Acute membranous laryngitis
X00n5	Acute subglottic laryngitis
X00n7	Viral epiglottitis
X00n8	Paediatric acute epiglottitis and supraglottitis
X00n9	Adult acute epiglottitis and supraglottitis
X00nA	Chronic fungal laryngitis
X00nF	Relapsing polychondritis of larynx
X00nm	Laryngeal sarcoidosis
