7G03J	Excision of melanoma
C37y0	Schuller-Christian syndrome
C37y1	Eosinophilic granuloma
C37y5	Histiocytosis X syndrome
C37y6	Histiocytosis X , unspecified
C37y7	Histiocytosis, unspecified
N3309	Osteoporosis in multiple myelomatosis
X00eT	Lymphoma of retina
X102I	Pulmonary histiocytosis X
X20E9	Langerhans' cell histiocytosis
X20HV	Lipochrome histiocytosis - familial
X30L7	Leukaemic infiltrate of kidney
X30L8	Lymphoma of kidney
X50BR	Lymphomatoid papulosis
X70LK	African Burkitt's lymphoma
X78e2	Leukaemia
X78hl	Cutaneous lymphoma
X78hm	Mycosis fungoides of skin
X78hn	Sezary's disease of skin
XE13I	(Plasma prot met dis: & [hyper/hypo prot]) or (Wald macrogl)
XE1vo	Malignant tumour of lymphoid haemopoietic and related tissue
XE1vp	Nodular lymphoma
XE1vq	Lymphoid and histiocytic malignancy NOS
XE1vr	Chronic erythraemia
XE1wd	[M]Malignant lymphoma, mixed lymphocytic-histiocytic NOS
XE1we	[M]Lymphogranuloma, malignant
XE1wf	[M]Malignant lymphoma, nodular NOS
XE20J	(Lymphatic tissue carcinoma) or (lymphoma)
XE20N	Multiple myeloma etc.
XE20P	(Plasma cell leukaemia) or (immunoprolif neoplasm NOS)
XE20R	Leukaemia: [lymphoid][monocytic][myeloid][specif cell type]
XE20T	Leukaemia - specif. cell NOS
XE20V	(Aleukaemic leukaemia) or (leukaemia - unspec cell NOS)
XE2bV	Malignant lymphoma - immunoblastic
XE2t9	[X]Non-Hodgkin's lymphoma, unspecified type
XE2vi	Acute erythraemia and erythroleukaemia
XM1FM	Malign lymphoma - lymphocytic, intermediate differentiation
XS5X2	Enteropathy associated T-cell lymphoma
Xa0DX	Gastric lymphoma
Xa0Dd	Lymphoma of intestine
Xa0E1	Primary cerebral lymphoma
Xa0QP	B-cell chronic lymphocytic leukaemia
Xa0QQ	B-cell chronic lymphocytic leukaemia variant
Xa0Ri	Malignant white blood cell disorder
Xa0Rk	T-cell chronic lymphocytic leukaemia
Xa0Rn	Chronic lymphocytic prolymphocytic leukaemia syndrome
Xa0Ro	Richter's syndrome
Xa0Rp	Splenic lymphoma with villous lymphocytes
Xa0S9	T-cell prolymphocytic leukaemia
Xa0SA	Hairy cell leukaemia variant
Xa0SB	Large granular lymphocytic leukaemia
Xa0SC	Lymphoma with spill
Xa0SD	B-cell acute lymphoblastic leukaemia
Xa0SE	Pre B-cell acute lymphoblastic leukaemia
Xa0SF	Common acute lymphoblastic leukaemia
Xa0SG	Null cell acute lymphoblastic leukaemia
Xa0SH	T-cell acute lymphoblastic leukaemia
Xa0SL	Light chain myeloma
Xa0SM	Heavy chain disease
Xa0SN	Non-secretory myeloma
Xa0SV	Juvenile chronic myeloid leukaemia
Xa0SX	Atypical chronic myeloid leukaemia
Xa0Sk	Acute myeloblastic leukaemia
Xa0Sl	Acute monoblastic leukaemia
Xa0Sm	Acute megakaryoblastic leukaemia
Xa0Sn	Acute eosinophilic leukaemia
Xa0So	Acute myelofibrosis
Xa0St	Hodgkin's disease, lymphocytic predominance - nodular
Xa0Su	Hodgkin's disease, lymphocytic predominance - diffuse
Xa0Sv	Hodgkin's disease,nodular sclerosis-lymphocytic predominance
Xa0Sw	Hodgkin's disease, nodular sclerosis - mixed cellularity
Xa0Sx	Hodgkin's disease, nodular sclerosis - lymphocytic depletion
Xa0Sy	B-cell lymphoma
Xa0Sz	Cutaneous/peripheral T-cell lymphoma
Xa0T0	Prethymic and thymic T-cell lymphoma/leukaemia
Xa0T1	Low grade B-cell lymphoma
Xa0T2	Diffuse low grade B-cell lymphoma
Xa0T3	High grade B-cell lymphoma
Xa0T4	Follicular low grade B-cell lymphoma
Xa0T5	B-cell prolymphocytic leukaemia
Xa0T7	Malignant lymphomatous polyposis
Xa0T8	Mucosa-associated lymphoma
Xa0T9	Monocytoid B-cell lymphoma
Xa0TA	Follicular malignant lymphoma - mixed cell type
Xa0TD	Follicular malignant lymphoma - small cleaved cell
Xa0TE	Diffuse high grade B-cell lymphoma
Xa0TF	Nodular high grade B-cell lymphoma
Xa0TG	Diffuse malignant lymphoma - large cell
Xa0TH	Diffuse malignant lymphoma - large cleaved cell
Xa0TI	Diffuse malignant lymphoma - large non-cleaved cell
Xa0TM	Diffuse malignant lymphoma - centroblastic polymorphic
Xa0TP	Malignant lymphoma - lymphoblastic
Xa0TS	Large cell anaplastic lymphoma
Xa0TX	Follicular malignant lymphoma - large cell
Xa0TY	Low grade T-cell lymphoma
Xa0TZ	High grade T-cell lymphoma
Xa0Th	Peripheral T-cell lymphoma
Xa0Ti	T-zone lymphoma
Xa0Tj	Lymphoepithelioid lymphoma
Xa0Tk	Angioimmunoblastic lymphadenopathy with dysproteinaemia
Xa0To	Angiocentric T-cell lymphoma
Xa0Tr	Peripheral T-cell lymphoma - pleomorphic small cell
Xa0Tt	Peripheral T-cell lymphoma-pleomorphic medium and large cell
Xa0Tu	Enteropathy-associated T-cell lymphoma
Xa0Ty	True histiocytic lymphoma
Xa0U5	Malignant lymphoma of testis
Xa0bR	Malignant lymphoma of thyroid gland
Xa0bS	Malignant lymphoma of breast
Xa0eB	Hypergranular promyelocytic leukaemia
Xa0eC	Erythraemia
Xa0jn	Acute biphenotypic leukaemia
Xa36a	IgA myeloma
Xa36b	IgG myeloma
Xa36c	IgD myeloma
Xa3EW	Acute myeloblastic leukaemia - undifferentiated
Xa3Ea	Acute myeloblastic leukaemia without maturation
Xa3Ec	Acute myeloblastic leukaemia with maturation
Xa3Ee	Acute promyelocytic leukaemia - hypogranular variant
Xa3En	Intermediate grade B-cell lymphoma
Xa3HG	Acute myelomonocytic leukaemia - eosinophilic variant
Xa8Jb	T-cell lymphoma
Xa99k	Malignant lymphoma
Xa99l	Malignant lymphoma - small lymphocytic
Xa99n	Diffuse malignant lymphoma - centroblastic
Xa99w	Nodular malignant lymphoma, lymphocytic - well diffrentiated
Xa99z	Nodul malig lymphoma, lymphocytic - intermed differentiation
Xa9AA	Plasmacytoma - disorder
Xa9AM	Acute leukaemia
Xa9AN	Subacute leukaemia
Xa9AO	Chronic leukaemia
Xa9AP	Aleukaemic leukaemia
Xa9EH	Malignant lymphoma, convoluted cell type
Xa9FC	Malignant lymphoma, follicular centre cell
Xa9FD	Malignant lymphoma, follicular centre cell, cleaved
Xa9FE	Malignant lymphoma, follicular centre cell, non-cleaved
Xa9FF	Malignant lymphoma, nodular
XaB47	Atypical hairy cell leukaemia
XaBAk	Malignant mastocytosis
XaBAl	Erythroleukaemia
XaBAm	Basophilic leukaemia
XaBB3	Plasma cell leukaemia
XaBBC	Neutrophilic leukaemia
XaBBM	Prolymphocytic lymphosarcoma
XaBBN	Malignant lymphoma - lymphoplasmacytic
XaBBO	Diffuse malignant lymphoma - centroblastic-centrocytic
XaBBP	Malignant lymphoma - centrocytic
XaBBZ	Hodgkin's disease, lymphocytic depletion, diffuse fibrosis
XaBBb	Hodgkin's disease, lymphocytic depletion, reticular type
XaBBc	Hodgkin's disease, nodular sclerosis - cellular phase
XaBBd	Malignant lymphoma, mixed lymphocytic-histiocytic, nodular
XaBBf	Malignant lymphoma, centroblastic-centrocytic, follicular
XaBBo	Malign lymphoma, lymphocytic, poorly differentiated, nodular
XaBBp	Malignant lymphoma, centroblastic type, follicular
XaBBs	Histiocytic medullary reticulosis
XaBLw	Follicular non-Hodgkin's lymphoma
XaBLx	Plasmacytoma NOS
XaBLz	[M]Waldenstrom's macroglobulinaemia
XaC2n	[M]Hodgkin's disease NOS
XaE68	Ocular lymphoma
XaELI	Lambda light chain myeloma
XaFpR	B-cell lymphoma morphology
XaFpS	Low grade B-cell lymphoma morphology
XaFpT	Follicular low grade B-cell lymphoma morphology
XaFpU	High grade B-cell lymphoma morphology
XaFpV	T-cell lymphoma morphology
XaFpW	High grade T-cell lymphoma morphology
XaFpy	Diffuse low grade B-cell lymphoma morphology
XaFpz	Low grade T-cell lymphoma morphology
XaFqH	Nodular high grade B-cell lymphoma morphology
XaFqN	Diffuse high grade B-cell lymphoma morphology
XaImp	Lymphoma stage I
XaImq	Lymphoma stage II
XaImr	Lymphoma stage III
XaIms	Lymphoma stage IV
XaPQD	Mantle cell lymphoma
XaYdL	Juvenile myelomonocytic leukaemia
XaYgm	Primary mediastinal (thymic) large B-cell lymphoma
XaYi5	Diffuse follicle centre lymphoma
XaYiI	Anaplastic lymphoma kinase negative anaplastic lg cell lymph
XaYiL	ALK positive anaplastic large cell lymphoma
XaYiN	Hepatosplenic T-cell lymphoma
XaYii	Extranod marg zone B-cell lymphom mucosa-assoc lymphoid tiss
XaYij	Follicular lymphoma grade 1
XaYil	Follicular lymphoma grade 3a
XaYim	Follicular lymphoma grade 3b
XaYin	Cutaneous follicle centre lymphoma
XaYip	Sarcoma of dendritic cells
XaYis	Atypical chronic myeloid leukaemia, BCR/ABL negative
XaYj0	Chronic myelogenous leukaemia, BCR/ABL positive
XaYj4	Acute myeloid leukaemia with myelodysplasia-related changes
XaYj9	Acute myeloid leukaemia with 11q23 abnormality
XaYjI	Primary cutaneous CD30 antigen positive large T-cell lymphom
XaYje	Extranodal natural killer/T-cell lymphoma, nasal type
XaYjf	Subcutaneous panniculitic T-cell lymphoma
XaYk0	Blastic plasmacytoid dendritic cell neoplasm
XaYv2	Refractory anaemia with multilineage dysplasia
XaZdD	Follicular lymphoma grade 3
XaZdF	Follicular lymphoma grade 2
XaZdn	Diffuse large B-cell lymphoma
XaZfR	Adult T-cell leukaemia/lymphoma
Xaa1N	Clinical stage A chronic lymphocytic leukaemia
Xaa1O	Clinical stage B chronic lymphocytic leukaemia
Xaa1P	Clinical stage C chronic lymphocytic leukaemia
Xaa8z	[M]Juvenile myelomonocytic leukaemia
Y1b23	Solitary osseous myeloma
B22..	Malignant neoplasm of trachea, bronchus and lung
B220.	Malignant tumour of trachea
B2200	Malignant neoplasm of cartilage of trachea
B2201	Malignant neoplasm of mucosa of trachea
B220z	Malignant neoplasm of trachea NOS
B221.	Malignant neoplasm of main bronchus
B2210	Malignant neoplasm of carina of bronchus
B2211	Malignant neoplasm of hilus of lung
B221z	Malignant neoplasm of main bronchus NOS
B222.	Malig neopl of upper lobe/bronchus/lung: (& [Pancoast synd])
B2220	Malignant neoplasm of upper lobe bronchus
B2221	Malignant neoplasm of upper lobe of lung
B222z	Malignant neoplasm of upper lobe, bronchus or lung NOS
B223.	Malignant neoplasm of middle lobe, bronchus or lung
B2230	Malignant neoplasm of middle lobe bronchus
B2231	Malignant neoplasm of middle lobe of lung
B223z	Malignant neoplasm of middle lobe, bronchus or lung NOS
B224.	Malignant neoplasm of lower lobe, bronchus or lung
B2240	Malignant neoplasm of lower lobe bronchus
B2241	Malignant neoplasm of lower lobe of lung
B224z	Malignant neoplasm of lower lobe, bronchus or lung NOS
B225.	Malignant neoplasm of overlapping lesion of bronchus & lung
B22y.	Malignant neoplasm of other sites of bronchus or lung
B22z.	Malig neopl lung: [of bronchus or lung NOS] or [lung cancer]
B23..	Malignant tumour of pleura
B230.	Malignant neoplasm of parietal pleura
B231.	Malignant neoplasm of visceral pleura
B232.	Malignant mesothelioma of pleura
B23y.	Malignant neoplasm of other specified pleura
B23z.	Malignant neoplasm of pleura NOS
B2zy.	Malignant neoplasm of other site of respiratory tract
B2zz.	Malignant neoplasm of respiratory tract NOS
BB1K.	Oat cell carcinoma
BB1L.	Small cell carcinoma - fusiform cell
BB5S2	[M]Bronchiolo-alveolar adenocarcinoma
BB5S4	Alveolar adenocarcinoma
Byu20	[X]Malignant neoplasm of bronchus or lung, unspecified
Byu5.	[X]Malignant neoplasm of mesothelial and soft tissue
Byu50	(Mesothelioma of lung) or ([X]mesothelioma of other sites)
Byu51	[X]Mesothelioma, unspecified
X2032	Pulmonary tumour embolism
X77mv	Small cell carcinoma - intermediate cell
X77mw	Small cell - large cell carcinoma
X77nT	Carcinoid bronchial adenoma
X77oo	Pulmonary blastoma
X78Q1	Adenoid cystic carcinoma of trachea
X78Q2	Squamous cell carcinoma of trachea
X78Q7	Malignant tumour of bronchus
X78Q8	Squamous cell carcinoma of bronchus
X78QF	Malignant tumour of lung parenchyma
X78QG	Adenocarcinoma of lung
X78QI	Carcinoid tumour of lung
X78QJ	Carcinoma of lung parenchyma
X78QK	Large cell carcinoma of lung
X78QL	Clear cell carcinoma of lung
X78QM	Giant cell carcinoma of lung
X78QN	Small cell carcinoma of lung
X78QO	Oat cell carcinoma of lung
X78QP	Squamous cell carcinoma of lung
X78QQ	Epithelioid haemangioendothelioma of lung
X78QR	Lymphomatoid granulomatosis of lung
X78QS	Non-small cell lung cancer
X78QT	Pancoast tumour
X78Qc	Malignant mesothelioma of pleura
XE1vb	Malignant neoplasm of upper lobe, bronchus or lung
XE1vc	Malignant neoplasm of bronchus or lung NOS
XE1yF	(Bronchus carc) or (lung carc) or (Ca trachea/bronchus/lung)
XE1yH	(Trachea carcinoma) or (Pancoast's tumour) or (Ca trachea)
XE1yJ	Ca main bronchus
XE1yL	Ca upper lobe bronchus/lung
XE1yN	Ca middle lobe bronchus/lung
XE1yP	Ca lower lobe bronchus/lung
XE1yR	Ca trachea/bronchus/lung NOS
Xa0KG	Malignant tumour of lung
Xa0bg	Pancoast's syndrome
XaBAp	Bronchioloalveolar adenocarcinoma of lung
XaEJe	Squamous cell carcinoma of bronchus in left lower lobe
XaEJf	Squamous cell carcinoma of bronchus in left upper lobe
XaEJg	Squamous cell carcinoma of bronchus in right lower lobe
XaEJh	Squamous cell carcinoma of bronchus in right middle lobe
XaEJi	Squamous cell carcinoma of bronchus in right upper lobe
XaFr7	Local recurrence of malignant tumour of lung
XaFrw	Metastasis from malignant tumour of lung
XaZzj	Non-small cell carcinoma
